"Program","Year","Schedule","Period","Relatedness-Type","Relatedness-Level","Relatedness-N"
"BCO",2013,"PT",6,"K",1,112
"CSC",2013,"PT",6,"U",3,13
"CSC",2013,"PT",6,"U",2,13
"CSC",2013,"PT",6,"U",1,11
"CSC",2013,"PT",6,"K",3,12
"CSC",2013,"PT",6,"K",2,12
"CSC",2013,"PT",6,"K",1,13
"EDU",2013,"PT",6,"U",3,357
"EDU",2013,"PT",6,"U",2,162
"EDU",2013,"PT",6,"U",1,165
"EDU",2013,"PT",6,"K",3,334
"EDU",2013,"PT",6,"K",2,218
"EDU",2013,"PT",6,"K",1,132
"ENG",2013,"PT",6,"U",3,37
"ENG",2013,"PT",6,"U",2,27
"ENG",2013,"PT",6,"U",1,42
"ENG",2013,"PT",6,"K",3,48
"ENG",2013,"PT",6,"K",2,21
"ENG",2013,"PT",6,"K",1,37
"FAA",2013,"PT",6,"U",3,113
"FAA",2013,"PT",6,"U",2,69
"FAA",2013,"PT",6,"U",1,147
"FAA",2013,"PT",6,"K",3,99
"FAA",2013,"PT",6,"K",2,117
"FAA",2013,"PT",6,"K",1,112
"FSN",2013,"PT",6,"U",3,35
"FSN",2013,"PT",6,"U",2,30
"FSN",2013,"PT",6,"U",1,34
"FSN",2013,"PT",6,"K",3,30
"FSN",2013,"PT",6,"K",2,33
"FSN",2013,"PT",6,"K",1,35
"HPR",2013,"PT",6,"U",3,40
"HPR",2013,"PT",6,"U",2,36
"HPR",2013,"PT",6,"U",1,62
"HPR",2013,"PT",6,"K",3,43
"HPR",2013,"PT",6,"K",2,47
"HPR",2013,"PT",6,"K",1,48
"HUM",2013,"PT",6,"U",3,148
"HUM",2013,"PT",6,"U",2,173
"HUM",2013,"PT",6,"U",1,445
"HUM",2013,"PT",6,"K",3,181
"HUM",2013,"PT",6,"K",2,258
"HUM",2013,"PT",6,"K",1,328
"JOU",2013,"PT",6,"U",1,17
"JOU",2013,"PT",6,"K",1,12
"KRP",2013,"PT",6,"U",3,81
"KRP",2013,"PT",6,"U",2,82
"KRP",2013,"PT",6,"U",1,69
"KRP",2013,"PT",6,"K",3,83
"KRP",2013,"PT",6,"K",2,90
"KRP",2013,"PT",6,"K",1,59
"LAW",2013,"PT",6,"U",2,10
"LAW",2013,"PT",6,"K",3,12
"MAT",2013,"PT",6,"U",3,27
"MAT",2013,"PT",6,"U",2,15
"MAT",2013,"PT",6,"U",1,24
"MAT",2013,"PT",6,"K",3,25
"MAT",2013,"PT",6,"K",2,26
"MAT",2013,"PT",6,"K",1,15
"NUR",2013,"PT",6,"U",3,128
"NUR",2013,"PT",6,"U",2,11
"NUR",2013,"PT",6,"U",1,34
"NUR",2013,"PT",6,"K",3,122
"NUR",2013,"PT",6,"K",2,24
"NUR",2013,"PT",6,"K",1,27
"OAS",2013,"PT",6,"U",3,24
"OAS",2013,"PT",6,"U",2,40
"OAS",2013,"PT",6,"U",1,108
"OAS",2013,"PT",6,"K",3,34
"OAS",2013,"PT",6,"K",2,48
"OAS",2013,"PT",6,"K",1,91
"PHA",2013,"PT",6,"U",3,20
"PHA",2013,"PT",6,"K",3,18
"PSC",2013,"PT",6,"U",3,18
"PSC",2013,"PT",6,"U",1,24
"PSC",2013,"PT",6,"K",3,17
"PSC",2013,"PT",6,"K",2,14
"PSC",2013,"PT",6,"K",1,18
"SSC",2013,"PT",6,"U",3,280
"SSC",2013,"PT",6,"U",2,368
"SSC",2013,"PT",6,"U",1,832
"SSC",2013,"PT",6,"K",3,321
"SSC",2013,"PT",6,"K",2,528
"SSC",2013,"PT",6,"K",1,630
"ABS",2013,"PT",24,"U",3,76
"ABS",2013,"PT",24,"U",2,92
"ABS",2013,"PT",24,"U",1,148
"ABS",2013,"PT",24,"K",3,97
"ABS",2013,"PT",24,"K",2,113
"ABS",2013,"PT",24,"K",1,106
"BCO",2013,"PT",24,"U",3,25
"BCO",2013,"PT",24,"U",2,67
"BCO",2013,"PT",24,"U",1,70
"BCO",2013,"PT",24,"K",3,32
"BCO",2013,"PT",24,"K",2,82
"BCO",2013,"PT",24,"K",1,47
"EDU",2013,"PT",24,"U",3,456
"EDU",2013,"PT",24,"U",2,132
"EDU",2013,"PT",24,"U",1,77
"EDU",2013,"PT",24,"K",3,445
"EDU",2013,"PT",24,"K",2,161
"EDU",2013,"PT",24,"K",1,60
"ENG",2013,"PT",24,"U",3,31
"ENG",2013,"PT",24,"U",2,28
"ENG",2013,"PT",24,"U",1,24
"ENG",2013,"PT",24,"K",3,34
"ENG",2013,"PT",24,"K",2,36
"ENG",2013,"PT",24,"K",1,13
"FAA",2013,"PT",24,"U",3,102
"FAA",2013,"PT",24,"U",2,61
"FAA",2013,"PT",24,"U",1,103
"FAA",2013,"PT",24,"K",3,102
"FAA",2013,"PT",24,"K",2,89
"FAA",2013,"PT",24,"K",1,76
"FSN",2013,"PT",24,"U",3,37
"FSN",2013,"PT",24,"U",2,15
"FSN",2013,"PT",24,"U",1,24
"FSN",2013,"PT",24,"K",3,30
"FSN",2013,"PT",24,"K",2,27
"FSN",2013,"PT",24,"K",1,19
"HPR",2013,"PT",24,"U",3,36
"HPR",2013,"PT",24,"U",2,37
"HPR",2013,"PT",24,"U",1,60
"HPR",2013,"PT",24,"K",3,50
"HPR",2013,"PT",24,"K",2,42
"HPR",2013,"PT",24,"K",1,41
"HUM",2013,"PT",24,"U",3,164
"HUM",2013,"PT",24,"U",2,166
"HUM",2013,"PT",24,"U",1,326
"HUM",2013,"PT",24,"K",3,227
"HUM",2013,"PT",24,"K",2,215
"HUM",2013,"PT",24,"K",1,210
"JOU",2013,"PT",24,"U",1,11
"KRP",2013,"PT",24,"U",3,84
"KRP",2013,"PT",24,"U",2,74
"KRP",2013,"PT",24,"U",1,63
"KRP",2013,"PT",24,"K",3,84
"KRP",2013,"PT",24,"K",2,95
"KRP",2013,"PT",24,"K",1,42
"LAW",2013,"PT",24,"U",3,15
"LAW",2013,"PT",24,"U",2,10
"LAW",2013,"PT",24,"U",1,11
"LAW",2013,"PT",24,"K",3,17
"LAW",2013,"PT",24,"K",2,14
"MAT",2013,"PT",24,"U",3,20
"MAT",2013,"PT",24,"U",2,15
"MAT",2013,"PT",24,"U",1,13
"MAT",2013,"PT",24,"K",3,19
"MAT",2013,"PT",24,"K",2,18
"MAT",2013,"PT",24,"K",1,11
"NUR",2013,"PT",24,"U",3,137
"NUR",2013,"PT",24,"U",2,35
"NUR",2013,"PT",24,"U",1,18
"NUR",2013,"PT",24,"K",3,137
"NUR",2013,"PT",24,"K",2,39
"NUR",2013,"PT",24,"K",1,14
"OAS",2013,"PT",24,"U",3,32
"OAS",2013,"PT",24,"U",2,44
"OAS",2013,"PT",24,"U",1,75
"OAS",2013,"PT",24,"K",3,42
"OAS",2013,"PT",24,"K",2,53
"OAS",2013,"PT",24,"K",1,56
"PSC",2013,"PT",24,"U",3,20
"PSC",2013,"PT",24,"U",2,11
"PSC",2013,"PT",24,"U",1,16
"PSC",2013,"PT",24,"K",3,23
"PSC",2013,"PT",24,"K",2,11
"PSC",2013,"PT",24,"K",1,13
"SSC",2013,"PT",24,"U",3,352
"SSC",2013,"PT",24,"U",2,389
"SSC",2013,"PT",24,"U",1,613
"SSC",2013,"PT",24,"K",3,432
"SSC",2013,"PT",24,"K",2,490
"SSC",2013,"PT",24,"K",1,433
"ABS",2012,"FT",6,"U",3,198
"ABS",2012,"FT",6,"U",2,185
"ABS",2012,"FT",6,"U",1,249
"ABS",2012,"FT",6,"K",3,223
"ABS",2012,"FT",6,"K",2,259
"ABS",2012,"FT",6,"K",1,149
"ALA",2012,"FT",6,"U",3,54
"ALA",2012,"FT",6,"U",2,15
"ALA",2012,"FT",6,"K",3,53
"ALA",2012,"FT",6,"K",2,15
"BCO",2012,"FT",6,"U",3,1246
"BCO",2012,"FT",6,"U",2,910
"BCO",2012,"FT",6,"U",1,344
"BCO",2012,"FT",6,"K",3,1282
"BCO",2012,"FT",6,"K",2,1001
"BCO",2012,"FT",6,"K",1,220
"CSC",2012,"FT",6,"U",3,200
"CSC",2012,"FT",6,"U",2,87
"CSC",2012,"FT",6,"U",1,16
"CSC",2012,"FT",6,"K",3,205
"CSC",2012,"FT",6,"K",2,88
"DEN",2012,"FT",6,"U",3,36
"DEN",2012,"FT",6,"K",3,35
"EDU",2012,"FT",6,"U",3,1126
"EDU",2012,"FT",6,"U",2,305
"EDU",2012,"FT",6,"U",1,321
"EDU",2012,"FT",6,"K",3,1120
"EDU",2012,"FT",6,"K",2,409
"EDU",2012,"FT",6,"K",1,223
"ENG",2012,"FT",6,"U",3,727
"ENG",2012,"FT",6,"U",2,539
"ENG",2012,"FT",6,"U",1,161
"ENG",2012,"FT",6,"K",3,910
"ENG",2012,"FT",6,"K",2,455
"ENG",2012,"FT",6,"K",1,60
"FAA",2012,"FT",6,"U",3,186
"FAA",2012,"FT",6,"U",2,117
"FAA",2012,"FT",6,"U",1,213
"FAA",2012,"FT",6,"K",3,200
"FAA",2012,"FT",6,"K",2,173
"FAA",2012,"FT",6,"K",1,144
"FSN",2012,"FT",6,"U",3,83
"FSN",2012,"FT",6,"U",2,39
"FSN",2012,"FT",6,"U",1,49
"FSN",2012,"FT",6,"K",3,89
"FSN",2012,"FT",6,"K",2,42
"FSN",2012,"FT",6,"K",1,39
"HPR",2012,"FT",6,"U",3,159
"HPR",2012,"FT",6,"U",2,67
"HPR",2012,"FT",6,"U",1,71
"HPR",2012,"FT",6,"K",3,151
"HPR",2012,"FT",6,"K",2,94
"HPR",2012,"FT",6,"K",1,50
"HUM",2012,"FT",6,"U",3,330
"HUM",2012,"FT",6,"U",2,365
"HUM",2012,"FT",6,"U",1,768
"HUM",2012,"FT",6,"K",3,443
"HUM",2012,"FT",6,"K",2,588
"HUM",2012,"FT",6,"K",1,425
"JOU",2012,"FT",6,"U",3,30
"JOU",2012,"FT",6,"U",2,16
"JOU",2012,"FT",6,"U",1,15
"JOU",2012,"FT",6,"K",3,35
"JOU",2012,"FT",6,"K",2,17
"KRP",2012,"FT",6,"U",3,156
"KRP",2012,"FT",6,"U",2,125
"KRP",2012,"FT",6,"U",1,140
"KRP",2012,"FT",6,"K",3,174
"KRP",2012,"FT",6,"K",2,159
"KRP",2012,"FT",6,"K",1,87
"LAW",2012,"FT",6,"U",3,407
"LAW",2012,"FT",6,"U",2,48
"LAW",2012,"FT",6,"U",1,21
"LAW",2012,"FT",6,"K",3,393
"LAW",2012,"FT",6,"K",2,73
"LAW",2012,"FT",6,"K",1,10
"MAT",2012,"FT",6,"U",3,97
"MAT",2012,"FT",6,"U",2,75
"MAT",2012,"FT",6,"U",1,40
"MAT",2012,"FT",6,"K",3,113
"MAT",2012,"FT",6,"K",2,80
"MAT",2012,"FT",6,"K",1,19
"MED",2012,"FT",6,"U",3,188
"MED",2012,"FT",6,"K",3,180
"MED",2012,"FT",6,"K",2,11
"NUR",2012,"FT",6,"U",3,869
"NUR",2012,"FT",6,"U",2,71
"NUR",2012,"FT",6,"K",3,862
"NUR",2012,"FT",6,"K",2,80
"OPT",2012,"FT",6,"U",3,26
"OPT",2012,"FT",6,"K",3,26
"OAS",2012,"FT",6,"U",3,141
"OAS",2012,"FT",6,"U",2,139
"OAS",2012,"FT",6,"U",1,261
"OAS",2012,"FT",6,"K",3,173
"OAS",2012,"FT",6,"K",2,213
"OAS",2012,"FT",6,"K",1,156
"PHA",2012,"FT",6,"U",3,129
"PHA",2012,"FT",6,"K",3,120
"PHA",2012,"FT",6,"K",2,14
"PSC",2012,"FT",6,"U",3,80
"PSC",2012,"FT",6,"U",2,23
"PSC",2012,"FT",6,"U",1,44
"PSC",2012,"FT",6,"K",3,86
"PSC",2012,"FT",6,"K",2,43
"PSC",2012,"FT",6,"K",1,17
"SSC",2012,"FT",6,"U",3,780
"SSC",2012,"FT",6,"U",2,957
"SSC",2012,"FT",6,"U",1,1524
"SSC",2012,"FT",6,"K",3,982
"SSC",2012,"FT",6,"K",2,1320
"SSC",2012,"FT",6,"K",1,960
"THE",2012,"FT",6,"U",3,14
"THE",2012,"FT",6,"U",1,11
"THE",2012,"FT",6,"K",3,16
"VME",2012,"FT",6,"U",3,37
"VME",2012,"FT",6,"K",3,36
"ABS",2012,"FT",24,"U",3,270
"ABS",2012,"FT",24,"U",2,236
"ABS",2012,"FT",24,"U",1,237
"ABS",2012,"FT",24,"K",3,351
"ABS",2012,"FT",24,"K",2,267
"ABS",2012,"FT",24,"K",1,127
"ALA",2012,"FT",24,"U",3,55
"ALA",2012,"FT",24,"U",2,20
"ALA",2012,"FT",24,"K",3,55
"ALA",2012,"FT",24,"K",2,20
"BCO",2012,"FT",24,"U",3,1544
"BCO",2012,"FT",24,"U",2,1039
"BCO",2012,"FT",24,"U",1,312
"BCO",2012,"FT",24,"K",3,1681
"BCO",2012,"FT",24,"K",2,1032
"BCO",2012,"FT",24,"K",1,184
"CSC",2012,"FT",24,"U",3,228
"CSC",2012,"FT",24,"U",2,99
"CSC",2012,"FT",24,"U",1,19
"CSC",2012,"FT",24,"K",3,225
"CSC",2012,"FT",24,"K",2,112
"DEN",2012,"FT",24,"U",3,32
"DEN",2012,"FT",24,"K",3,30
"EDU",2012,"FT",24,"U",3,1663
"EDU",2012,"FT",24,"U",2,314
"EDU",2012,"FT",24,"U",1,231
"EDU",2012,"FT",24,"K",3,1669
"EDU",2012,"FT",24,"K",2,405
"EDU",2012,"FT",24,"K",1,135
"ENG",2012,"FT",24,"U",3,847
"ENG",2012,"FT",24,"U",2,603
"ENG",2012,"FT",24,"U",1,180
"ENG",2012,"FT",24,"K",3,1066
"ENG",2012,"FT",24,"K",2,502
"ENG",2012,"FT",24,"K",1,61
"FAA",2012,"FT",24,"U",3,273
"FAA",2012,"FT",24,"U",2,175
"FAA",2012,"FT",24,"U",1,209
"FAA",2012,"FT",24,"K",3,324
"FAA",2012,"FT",24,"K",2,229
"FAA",2012,"FT",24,"K",1,105
"FSN",2012,"FT",24,"U",3,137
"FSN",2012,"FT",24,"U",2,57
"FSN",2012,"FT",24,"U",1,39
"FSN",2012,"FT",24,"K",3,144
"FSN",2012,"FT",24,"K",2,72
"FSN",2012,"FT",24,"K",1,17
"HPR",2012,"FT",24,"U",3,190
"HPR",2012,"FT",24,"U",2,95
"HPR",2012,"FT",24,"U",1,63
"HPR",2012,"FT",24,"K",3,204
"HPR",2012,"FT",24,"K",2,106
"HPR",2012,"FT",24,"K",1,38
"HUM",2012,"FT",24,"U",3,558
"HUM",2012,"FT",24,"U",2,516
"HUM",2012,"FT",24,"U",1,781
"HUM",2012,"FT",24,"K",3,793
"HUM",2012,"FT",24,"K",2,739
"HUM",2012,"FT",24,"K",1,321
"JOU",2012,"FT",24,"U",3,41
"JOU",2012,"FT",24,"U",2,20
"JOU",2012,"FT",24,"U",1,14
"JOU",2012,"FT",24,"K",3,49
"JOU",2012,"FT",24,"K",2,21
"KRP",2012,"FT",24,"U",3,199
"KRP",2012,"FT",24,"U",2,162
"KRP",2012,"FT",24,"U",1,114
"KRP",2012,"FT",24,"K",3,257
"KRP",2012,"FT",24,"K",2,162
"KRP",2012,"FT",24,"K",1,55
"LAW",2012,"FT",24,"U",3,379
"LAW",2012,"FT",24,"U",2,69
"LAW",2012,"FT",24,"U",1,34
"LAW",2012,"FT",24,"K",3,368
"LAW",2012,"FT",24,"K",2,95
"LAW",2012,"FT",24,"K",1,19
"MAT",2012,"FT",24,"U",3,126
"MAT",2012,"FT",24,"U",2,100
"MAT",2012,"FT",24,"U",1,51
"MAT",2012,"FT",24,"K",3,149
"MAT",2012,"FT",24,"K",2,107
"MAT",2012,"FT",24,"K",1,21
"MED",2012,"FT",24,"U",3,191
"MED",2012,"FT",24,"K",3,185
"MED",2012,"FT",24,"K",2,13
"NUR",2012,"FT",24,"U",3,941
"NUR",2012,"FT",24,"U",2,75
"NUR",2012,"FT",24,"U",1,15
"NUR",2012,"FT",24,"K",3,931
"NUR",2012,"FT",24,"K",2,91
"OPT",2012,"FT",24,"U",3,34
"OPT",2012,"FT",24,"K",3,33
"OAS",2012,"FT",24,"U",3,198
"OAS",2012,"FT",24,"U",2,209
"OAS",2012,"FT",24,"U",1,246
"OAS",2012,"FT",24,"K",3,267
"OAS",2012,"FT",24,"K",2,268
"OAS",2012,"FT",24,"K",1,118
"PHA",2012,"FT",24,"U",3,134
"PHA",2012,"FT",24,"K",3,125
"PHA",2012,"FT",24,"K",2,12
"PSC",2012,"FT",24,"U",3,91
"PSC",2012,"FT",24,"U",2,51
"PSC",2012,"FT",24,"U",1,47
"PSC",2012,"FT",24,"K",3,118
"PSC",2012,"FT",24,"K",2,54
"PSC",2012,"FT",24,"K",1,17
"SSC",2012,"FT",24,"U",3,1222
"SSC",2012,"FT",24,"U",2,1397
"SSC",2012,"FT",24,"U",1,1505
"SSC",2012,"FT",24,"U",0,12
"SSC",2012,"FT",24,"K",3,1734
"SSC",2012,"FT",24,"K",2,1616
"SSC",2012,"FT",24,"K",1,775
