"Year","University","Type","Count"
2006,"WBC","R",26
2006,"WHC","A",199
2006,"WHC","R",19
2006,"WKC","A",509
2006,"WKC","R",84
2006,"WLA","A",981
2006,"WLA","R",109
2006,"WIN","A",1010
2006,"WIN","R",278
2005,"BRO","A",1626
2005,"BRO","R",338
2005,"CAR","A",3617
2005,"CAR","R",1332
2005,"GUE","A",1598
2005,"GUE","R",215
2005,"LAK","A",612
2005,"LAK","R",253
2005,"LAU","A",996
2005,"LAU","R",577
2005,"MCM","A",1757
2005,"MCM","R",292
2005,"NIP","A",410
2005,"NIP","R",93
2005,"OCA","A",246
2005,"OCA","R",147
2005,"OTT","A",3105
2005,"OTT","R",414
2005,"UOI","A",661
2005,"UOI","R",234
2005,"QUE","A",675
2005,"QUE","R",89
2005,"RYE","A",4555
2005,"RYE","R",958
2005,"TAC","A",5598
2005,"TAC","R",1001
2005,"TRE","A",766
2005,"TRE","R",201
2005,"WAT","A",1233
2005,"WAT","R",164
2005,"WMC","A",2962
2005,"WMC","R",382
2005,"WBC","A",200
2005,"WBC","R",35
2005,"WHC","A",293
2005,"WHC","R",45
2005,"WLA","A",1044
2005,"WLA","R",168
2005,"WIN","A",1126
2005,"WIN","R",220
