"Year","Occupation","Metric","Value"
2015,"NSB","EM",2155.1
2015,"NSB","UN",84.7
2015,"NSB","UR",3.8
2015,"NSC","LF",2003.6
2015,"NSC","EM",1904.4
2015,"NSC","UN",99.2
2015,"NSC","UR",5
2015,"NSD","LF",802.7
2015,"NSD","EM",741.7
2015,"NSD","UN",61
2015,"NSD","UR",7.6
2015,"UNC","LF",217.2
2015,"UNC","UN",217.2
2015,"UNC","UR",100
2016,"MAN","LF",647.8
2016,"MAN","EM",633.6
2016,"MAN","UN",14.2
2016,"MAN","UR",2.2
2016,"PRO","LF",1591
2016,"PRO","EM",1553.8
2016,"PRO","UN",37.2
2016,"PRO","UR",2.3
2016,"NSB","LF",2333.3
2016,"NSB","EM",2257.9
2016,"NSB","UN",75.4
2016,"NSB","UR",3.2
2016,"NSC","LF",1889.5
2016,"NSC","EM",1795.8
2016,"NSC","UN",93.6
2016,"NSC","UR",5
2016,"NSD","LF",817.9
2016,"NSD","EM",758.5
2016,"NSD","UN",59.4
2016,"NSD","UR",7.3
2016,"UNC","LF",210.1
2016,"UNC","UN",210.1
2016,"UNC","UR",100
