"School","Year","Confirmed","Choice","Count"
"NIP","13-14","N",4,892
"NIP","14-15","N",1,1301
"NIP","14-15","N",2,994
"NIP","14-15","N",3,812
"NIP","14-15","N",4,1010
"NIP","15-16","N",1,1315
"NIP","15-16","N",2,1009
"NIP","15-16","N",3,870
"NIP","15-16","N",4,989
"NIP","16-17","N",1,1185
"NIP","16-17","N",2,862
"NIP","16-17","N",3,820
"NIP","16-17","N",4,906
"OCA","07-08","N",1,1476
"OCA","07-08","N",2,620
"OCA","07-08","N",3,386
"OCA","07-08","N",4,329
"OCA","08-09","N",1,1498
"OCA","08-09","N",2,638
"OCA","08-09","N",3,351
"OCA","08-09","N",4,332
"OCA","09-10","N",1,1685
"OCA","09-10","N",2,638
"OCA","09-10","N",3,346
"OCA","09-10","N",4,283
"OCA","10-11","N",1,1798
"OCA","10-11","N",2,641
"OCA","10-11","N",3,373
"OCA","10-11","N",4,294
"OCA","11-12","N",1,1734
"OCA","11-12","N",2,611
"OCA","11-12","N",3,345
"OCA","11-12","N",4,270
"OCA","12-13","N",1,1827
"OCA","12-13","N",2,632
"OCA","12-13","N",3,307
"OCA","12-13","N",4,263
"OCA","13-14","N",1,1799
"OCA","13-14","N",2,568
"OCA","13-14","N",3,317
"OCA","13-14","N",4,277
"OCA","14-15","N",1,1764
"OCA","14-15","N",2,505
"OCA","14-15","N",3,297
"OCA","14-15","N",4,290
"OCA","15-16","N",1,1765
"OCA","15-16","N",2,561
"OCA","15-16","N",3,357
"OCA","15-16","N",4,366
"OCA","16-17","N",1,1750
"OCA","16-17","N",2,562
"OCA","16-17","N",3,377
"OCA","16-17","N",4,376
"OTT","07-08","N",1,9488
"OTT","07-08","N",2,8367
"OTT","07-08","N",3,6886
"OTT","07-08","N",4,7139
"OTT","08-09","N",1,9587
"OTT","08-09","N",2,8121
"OTT","08-09","N",3,6949
"OTT","08-09","N",4,7266
"OTT","09-10","N",1,10062
"OTT","09-10","N",2,8783
"OTT","09-10","N",3,7386
"OTT","09-10","N",4,7443
"OTT","10-11","N",1,10272
"OTT","10-11","N",2,8903
"OTT","10-11","N",3,7712
"OTT","10-11","N",4,7474
"OTT","11-12","N",1,10577
"OTT","11-12","N",2,9530
"OTT","11-12","N",3,8099
"OTT","11-12","N",4,7780
"OTT","12-13","N",1,11049
"OTT","12-13","N",2,9720
"OTT","12-13","N",3,8472
"OTT","12-13","N",4,8277
"OTT","13-14","N",1,11286
"OTT","13-14","N",2,10150
"OTT","13-14","N",3,8884
"OTT","13-14","N",4,9860
"OTT","14-15","N",1,12685
"OTT","14-15","N",2,10959
"OTT","14-15","N",3,9148
"OTT","14-15","N",4,10508
"OTT","15-16","N",1,12812
"OTT","15-16","N",2,11256
"OTT","15-16","N",3,9627
"OTT","15-16","N",4,11170
"OTT","16-17","N",1,12235
"OTT","16-17","N",2,10935
"OTT","16-17","N",3,9358
"OTT","16-17","N",4,12094
"QUE","07-08","N",1,7491
"QUE","07-08","N",2,6175
"QUE","07-08","N",3,5301
"QUE","07-08","N",4,7684
"QUE","08-09","N",1,7829
"QUE","08-09","N",2,6276
"QUE","08-09","N",3,5430
"QUE","08-09","N",4,7858
"QUE","09-10","N",1,8026
"QUE","09-10","N",2,6227
"QUE","09-10","N",3,5248
"QUE","09-10","N",4,7218
"QUE","10-11","N",1,7991
"QUE","10-11","N",2,6135
"QUE","10-11","N",3,5125
"QUE","10-11","N",4,6924
"QUE","11-12","N",1,8205
"QUE","11-12","N",2,6218
"QUE","11-12","N",3,5271
"QUE","11-12","N",4,7326
"QUE","12-13","N",1,7925
"QUE","12-13","N",2,6257
"QUE","12-13","N",3,5426
"QUE","12-13","N",4,7426
"QUE","13-14","N",1,8383
"QUE","13-14","N",2,6425
"QUE","13-14","N",3,5326
"QUE","13-14","N",4,7660
"QUE","14-15","N",1,8194
"QUE","14-15","N",2,6521
"QUE","14-15","N",3,5681
"QUE","14-15","N",4,9048
"QUE","15-16","N",1,8540
"QUE","15-16","N",2,6651
"QUE","15-16","N",3,5685
"QUE","15-16","N",4,9430
"QUE","16-17","N",1,8854
"QUE","16-17","N",2,7259
"QUE","16-17","N",3,6323
"QUE","16-17","N",4,11127
"RYE","07-08","N",1,14465
"RYE","07-08","N",2,12059
"RYE","07-08","N",3,10936
"RYE","07-08","N",4,14536
"RYE","08-09","N",1,15831
"RYE","08-09","N",2,13097
"RYE","08-09","N",3,11518
"RYE","08-09","N",4,15239
"RYE","09-10","N",1,16821
"RYE","09-10","N",2,13595
"RYE","09-10","N",3,11755
"RYE","09-10","N",4,14840
"RYE","10-11","N",1,16595
"RYE","10-11","N",2,13679
"RYE","10-11","N",3,11913
"RYE","10-11","N",4,14450
"RYE","11-12","N",1,16422
"RYE","11-12","N",2,13982
"RYE","11-12","N",3,12331
"RYE","11-12","N",4,15037
"RYE","12-13","N",1,16898
"RYE","12-13","N",2,14517
"RYE","12-13","N",3,12781
"RYE","12-13","N",4,15796
"RYE","13-14","N",1,17643
"RYE","13-14","N",2,15816
"RYE","13-14","N",3,13753
"RYE","13-14","N",4,18141
"RYE","14-15","N",1,17388
"RYE","14-15","N",2,15214
"RYE","14-15","N",3,13416
"RYE","14-15","N",4,19258
"RYE","15-16","N",1,17665
"RYE","15-16","N",2,15506
"RYE","15-16","N",3,13669
"RYE","15-16","N",4,20095
"RYE","16-17","N",1,17962
"RYE","16-17","N",2,15877
"RYE","16-17","N",3,14018
"RYE","16-17","N",4,21364
"TOR","07-08","N",1,22436
"TOR","07-08","N",2,15779
"TOR","07-08","N",3,12127
"TOR","07-08","N",4,14963
"TOR","08-09","N",1,22122
"TOR","08-09","N",2,15649
"TOR","08-09","N",3,11632
"TOR","08-09","N",4,14941
"TOR","09-10","N",1,23468
"TOR","09-10","N",2,16163
"TOR","09-10","N",3,11933
"TOR","09-10","N",4,14792
"TOR","10-11","N",1,24546
"TOR","10-11","N",2,16413
"TOR","10-11","N",3,12331
"TOR","10-11","N",4,14787
"TOR","11-12","N",1,25989
"TOR","11-12","N",2,17224
"TOR","11-12","N",3,12956
"TOR","11-12","N",4,15225
"TOR","12-13","N",1,27427
"TOR","12-13","N",2,18152
"TOR","12-13","N",3,13386
"TOR","12-13","N",4,16095
"TOR","13-14","N",1,27779
"TOR","13-14","N",2,18418
"TOR","13-14","N",3,13518
"TOR","13-14","N",4,17385
"TOR","14-15","N",1,29045
"TOR","14-15","N",2,18310
"TOR","14-15","N",3,13423
"TOR","14-15","N",4,18582
"TOR","15-16","N",1,28011
"TOR","15-16","N",2,18431
"TOR","15-16","N",3,13462
"TOR","15-16","N",4,19150
"TOR","16-17","N",1,29714
"TOR","16-17","N",2,19488
"TOR","16-17","N",3,14184
"TOR","16-17","N",4,20216
"TRE","07-08","N",1,1965
"TRE","07-08","N",2,1846
"TRE","07-08","N",3,1910
"TRE","07-08","N",4,3082
"TRE","08-09","N",1,1983
"TRE","08-09","N",2,1744
"TRE","08-09","N",3,1846
"TRE","08-09","N",4,3029
"TRE","09-10","N",1,2047
"TRE","09-10","N",2,1735
"TRE","09-10","N",3,1757
"TRE","09-10","N",4,2601
"TRE","10-11","N",1,2096
"TRE","10-11","N",2,2005
"TRE","10-11","N",3,2051
"TRE","10-11","N",4,3033
"TRE","11-12","N",1,2214
"TRE","11-12","N",2,2094
"TRE","11-12","N",3,2107
"TRE","11-12","N",4,3019
"TRE","12-13","N",1,2293
"TRE","12-13","N",2,2254
"TRE","12-13","N",3,2223
"TRE","12-13","N",4,3150
"TRE","13-14","N",1,2193
"TRE","13-14","N",2,2221
"TRE","13-14","N",3,2383
"TRE","13-14","N",4,3214
"TRE","14-15","N",1,2265
"TRE","14-15","N",2,2263
"TRE","14-15","N",3,2349
"TRE","14-15","N",4,3483
"TRE","15-16","N",1,2245
"TRE","15-16","N",2,2224
"TRE","15-16","N",3,2325
"TRE","15-16","N",4,3356
"TRE","16-17","N",1,2461
"TRE","16-17","N",2,2553
"TRE","16-17","N",3,2687
"TRE","16-17","N",4,4089
"UOI","07-08","N",1,1935
"UOI","07-08","N",2,1416
"UOI","07-08","N",3,1446
"UOI","07-08","N",4,2884
"UOI","08-09","N",1,2094
"UOI","08-09","N",2,1697
"UOI","08-09","N",3,1634
"UOI","08-09","N",4,3296
"UOI","09-10","N",1,2090
"UOI","09-10","N",2,1760
"UOI","09-10","N",3,1798
"UOI","09-10","N",4,3395
"UOI","10-11","N",1,2293
"UOI","10-11","N",2,1953
"UOI","10-11","N",3,2016
"UOI","10-11","N",4,3713
"UOI","11-12","N",1,2596
"UOI","11-12","N",2,2180
"UOI","11-12","N",3,2209
"UOI","11-12","N",4,3797
"UOI","12-13","N",1,2875
"UOI","12-13","N",2,2407
"UOI","12-13","N",3,2400
"UOI","12-13","N",4,4178
"UOI","13-14","N",1,2947
"UOI","13-14","N",2,2331
"UOI","13-14","N",3,2348
"UOI","13-14","N",4,4408
"UOI","14-15","N",1,3090
"UOI","14-15","N",2,2407
"UOI","14-15","N",3,2371
"UOI","14-15","N",4,4588
"UOI","15-16","N",1,3058
"UOI","15-16","N",2,2441
"UOI","15-16","N",3,2387
"UOI","15-16","N",4,4704
"UOI","16-17","N",1,2884
"UOI","16-17","N",2,2260
"UOI","16-17","N",3,2233
"UOI","16-17","N",4,4729
"WAT","07-08","N",1,10118
"WAT","07-08","N",2,7980
"WAT","07-08","N",3,6545
"WAT","07-08","N",4,10043
"WAT","08-09","N",1,11193
"WAT","08-09","N",2,9211
"WAT","08-09","N",3,7399
"WAT","08-09","N",4,11118
"WAT","09-10","N",1,11024
"WAT","09-10","N",2,9061
"WAT","09-10","N",3,7356
"WAT","09-10","N",4,10748
"WAT","10-11","N",1,10537
"WAT","10-11","N",2,9013
"WAT","10-11","N",3,7040
"WAT","10-11","N",4,10248
"WAT","11-12","N",1,11377
"WAT","11-12","N",2,9587
"WAT","11-12","N",3,7567
"WAT","11-12","N",4,10861
"WAT","12-13","N",1,11712
"WAT","12-13","N",2,9909
"WAT","12-13","N",3,7717
"WAT","12-13","N",4,11061
"WAT","13-14","N",1,12176
"WAT","13-14","N",2,10214
"WAT","13-14","N",3,7842
"WAT","13-14","N",4,11831
"WAT","14-15","N",1,13078
"WAT","14-15","N",2,10689
"WAT","14-15","N",3,8033
"WAT","14-15","N",4,12252
"WAT","15-16","N",1,13219
"WAT","15-16","N",2,10718
"WAT","15-16","N",3,7718
"WAT","15-16","N",4,12454
"WAT","16-17","N",1,14335
"WAT","16-17","N",2,11978
"WAT","16-17","N",3,8687
"WAT","16-17","N",4,13512
"WON","07-08","N",1,10973
"WON","07-08","N",2,11686
"WON","07-08","N",3,10222
"WON","07-08","N",4,13578
"WON","08-09","N",1,11801
"WON","08-09","N",2,12261
"WON","08-09","N",3,10774
"WON","08-09","N",4,13956
"WON","09-10","N",1,11664
"WON","09-10","N",2,12331
"WON","09-10","N",3,10960
"WON","09-10","N",4,13834
"WON","10-11","N",1,12209
"WON","10-11","N",2,12844
"WON","10-11","N",3,11038
"WON","10-11","N",4,13542
"WON","11-12","N",1,12289
"WON","11-12","N",2,13121
"WON","11-12","N",3,11508
"WON","11-12","N",4,13888
"WON","12-13","N",1,12477
"WON","12-13","N",2,13207
"WON","12-13","N",3,11641
"WON","12-13","N",4,14478
"WON","13-14","N",1,12216
"WON","13-14","N",2,13267
"WON","13-14","N",3,11549
"WON","13-14","N",4,15638
"WON","14-15","N",1,11868
"WON","14-15","N",2,12924
"WON","14-15","N",3,11071
"WON","14-15","N",4,16294
"WON","15-16","N",1,11665
"WON","15-16","N",2,12651
"WON","15-16","N",3,10916
"WON","15-16","N",4,16762
"WON","16-17","N",1,11435
"WON","16-17","N",2,12783
"WON","16-17","N",3,11362
"WON","16-17","N",4,18181
"WLA","07-08","N",1,4738
"WLA","07-08","N",2,4646
"WLA","07-08","N",3,4575
"WLA","07-08","N",4,7597
"WLA","08-09","N",1,5064
"WLA","08-09","N",2,5038
"WLA","08-09","N",3,4864
"WLA","08-09","N",4,8378
"WLA","09-10","N",1,4890
"WLA","09-10","N",2,5141
"WLA","09-10","N",3,5015
"WLA","09-10","N",4,8044
"WLA","10-11","N",1,4707
"WLA","10-11","N",2,4947
"WLA","10-11","N",3,5044
"WLA","10-11","N",4,8241
"WLA","11-12","N",1,4928
"WLA","11-12","N",2,5336
"WLA","11-12","N",3,5218
"WLA","11-12","N",4,8331
"WLA","12-13","N",1,5003
"WLA","12-13","N",2,5185
"WLA","12-13","N",3,5299
"WLA","12-13","N",4,8753
"WLA","13-14","N",1,5029
"WLA","13-14","N",2,5379
"WLA","13-14","N",3,5512
"WLA","13-14","N",4,9543
"WLA","14-15","N",1,4489
"WLA","14-15","N",2,5027
"WLA","14-15","N",3,5213
"WLA","14-15","N",4,9595
"WLA","15-16","N",1,4807
"WLA","15-16","N",2,5195
"WLA","15-16","N",3,5231
"WLA","15-16","N",4,9958
"WLA","16-17","N",1,5568
"WLA","16-17","N",2,5680
"WLA","16-17","N",3,5774
"WLA","16-17","N",4,10658
"WIN","07-08","N",1,3423
"WIN","07-08","N",2,3026
"WIN","07-08","N",3,3220
"WIN","07-08","N",4,4510
"WIN","08-09","N",1,3383
"WIN","08-09","N",2,3014
"WIN","08-09","N",3,3230
"WIN","08-09","N",4,3955
"WIN","09-10","N",1,3176
"WIN","09-10","N",2,2868
"WIN","09-10","N",3,3037
"WIN","09-10","N",4,3753
"WIN","10-11","N",1,3223
"WIN","10-11","N",2,2876
"WIN","10-11","N",3,3087
"WIN","10-11","N",4,3708
"WIN","11-12","N",1,3364
"WIN","11-12","N",2,3096
"WIN","11-12","N",3,3245
"WIN","11-12","N",4,3524
"WIN","12-13","N",1,3494
"WIN","12-13","N",2,3297
"WIN","12-13","N",3,3309
"WIN","12-13","N",4,3603
"WIN","13-14","N",1,3638
"WIN","13-14","N",2,3403
"WIN","13-14","N",3,3508
"WIN","13-14","N",4,4049
"WIN","14-15","N",1,3361
"WIN","14-15","N",2,3261
"WIN","14-15","N",3,3273
"WIN","14-15","N",4,4157
"WIN","15-16","N",1,3029
"WIN","15-16","N",2,2851
"WIN","15-16","N",3,2977
"WIN","15-16","N",4,3929
"WIN","16-17","N",1,3067
"WIN","16-17","N",2,2875
"WIN","16-17","N",3,2885
"WIN","16-17","N",4,3884
"YOR","07-08","N",1,14818
"YOR","07-08","N",2,14878
"YOR","07-08","N",3,13092
"YOR","07-08","N",4,16514
"YOR","08-09","N",1,14355
"YOR","08-09","N",2,14794
"YOR","08-09","N",3,13280
"YOR","08-09","N",4,16500
"YOR","09-10","N",1,12680
"YOR","09-10","N",2,13559
"YOR","09-10","N",3,12283
"YOR","09-10","N",4,15100
"YOR","10-11","N",1,13436
"YOR","10-11","N",2,14601
"YOR","10-11","N",3,13305
"YOR","10-11","N",4,16303
"YOR","11-12","N",1,13388
"YOR","11-12","N",2,14624
"YOR","11-12","N",3,13404
"YOR","11-12","N",4,17058
"YOR","12-13","N",1,11802
"YOR","12-13","N",2,13613
"YOR","12-13","N",3,12932
"YOR","12-13","N",4,17279
"YOR","13-14","N",1,10894
"YOR","13-14","N",2,12809
"YOR","13-14","N",3,12394
"YOR","13-14","N",4,17932
"YOR","14-15","N",1,11088
"YOR","14-15","N",2,13277
"YOR","14-15","N",3,12761
"YOR","14-15","N",4,19735
"YOR","15-16","N",1,10465
"YOR","15-16","N",2,12308
"YOR","15-16","N",3,12152
"YOR","15-16","N",4,19863
"YOR","16-17","N",1,9821
"YOR","16-17","N",2,11910
"YOR","16-17","N",3,11858
"YOR","16-17","N",4,19998
"ALG","08-09","Y",1,0
"ALG","08-09","Y",2,0
"ALG","08-09","Y",3,0
"ALG","08-09","Y",4,0
"ALG","09-10","Y",1,0
"ALG","09-10","Y",2,0
"ALG","09-10","Y",3,0
"ALG","09-10","Y",4,0
"ALG","10-11","Y",1,202
"ALG","10-11","Y",2,25
"ALG","10-11","Y",3,25
"ALG","10-11","Y",4,20
"ALG","11-12","Y",1,223
"ALG","11-12","Y",2,53
"ALG","11-12","Y",3,45
"ALG","11-12","Y",4,42
"ALG","12-13","Y",1,226
"ALG","12-13","Y",2,45
"ALG","12-13","Y",3,28
"ALG","12-13","Y",4,25
"ALG","13-14","Y",1,203
"ALG","13-14","Y",2,43
