Programs / Programmes
---------------------

ABS	Agriculture & Biological Science                    	Sciences agricoles et biologiques
1121	Business, finance and administration occupations -> Professional occupations in business and finance -> Human resources professionals                                                                                                                                 	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance -> Professionnels/professionnelles en ressources humaines
1122	Business, finance and administration occupations -> Professional occupations in business and finance -> Professional occupations in business management consulting                                                                                                    	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance -> Professionnels/professionnelles des services-conseils en gestion aux entreprises
1123	Business, finance and administration occupations -> Professional occupations in business and finance -> Professional occupations in advertising, marketing and public relations                                                                                       	Affaires, finance et administration -> Personnel professionnel en gestion des affaires et en finance -> Professionnels/professionnelles en publicité, en marketing et en relations publiques
12  	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations                                                                                                                                           	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif
121 	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Administrative services supervisors                                                                                                    	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Superviseurs/superviseures de services administratifs
1211	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Supervisors, general office and administrative support workers                                                                         	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif
1212	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Supervisors, finance and insurance office workers                                                                                      	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Superviseurs/superviseures de commis de finance et d'assurance
1213	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Supervisors, library, correspondence and related information workers                                                                   	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information
1214	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Supervisors, mail and message distribution occupations                                                                                 	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Superviseurs/superviseures de services postaux et de messageries
1215	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Supervisors, supply chain, tracking and scheduling co-ordination occupations                                                           	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires
122 	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Administrative and regulatory occupations                                                                                              	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Personnel administratif et de réglementation
1221	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Administrative officers                                                                                                                	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Agents/agentes d'administration
1222	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Executive assistants                                                                                                                   	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Adjoints/adjointes de direction
1223	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Human resources and recruitment officers                                                                                               	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Agents/agentes des ressources humaines et de recrutement
1224	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Property administrators                                                                                                                	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Agents/agentes de gestion immobilière
1225	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Purchasing agents and officers                                                                                                         	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Agents/agentes aux achats
1226	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Conference and event planners                                                                                                          	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Planificateurs/planificatrices de congrès et d'événements
1227	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Court officers and justices of the peace                                                                                               	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Juges de paix et officiers/officières de justice
1228	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Employment insurance, immigration, border services and revenue officers                                                                	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Agents/agentes d'assurance-emploi, d'immigration, de services frontaliers et du revenu
124 	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Office administrative assistants - general, legal and medical                                                                          	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Adjoints administratifs/adjointes administratives de bureau - général, juridique et médical
1241	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Administrative assistants                                                                                                              	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Adjoints administratifs/adjointes administratives
1242	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Legal administrative assistants                                                                                                        	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Adjoints administratifs juridiques/adjointes administratives juridiques
1243	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Medical administrative assistants                                                                                                      	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Adjoints administratifs médicaux/adjointes administratives médicales
125 	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Court reporters, transcriptionists, records management technicians and statistical officers                                            	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Sténographes judiciaires, transcripteurs/transcriptrices, techniciens/techniciennes à la gestion des documents et agents/agentes de statistiques
1251	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Court reporters, medical transcriptionists and related occupations                                                                     	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Sténographes judiciaires, transcripteurs médicaux/transcriptrices médicales et personnel assimilé
1252	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Health information management occupations                                                                                              	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Professionnels/professionnelles de la gestion de l'information sur la santé
1253	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Records management technicians                                                                                                         	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Techniciens/techniciennes à la gestion des documents
1254	Business, finance and administration occupations -> Administrative and financial supervisors and administrative occupations -> Statistical officers and related research support occupations                                                                          	Affaires, finance et administration -> Personnel de supervision du travail administratif et financier et personnel administratif -> Agents/agentes de statistiques et professions connexes du soutien de la recherche
131 	Business, finance and administration occupations -> Finance, insurance and related business administrative occupations                                                                                                                                                	Affaires, finance et administration -> Personnel en finance, assurance et personnel assimilé en administration des affaires -> Personnel en finance, assurance et personnel assimilé en administration des affaires
1311	Business, finance and administration occupations -> Finance, insurance and related business administrative occupations -> Accounting technicians and bookkeepers                                                                                                      	Affaires, finance et administration -> Personnel en finance, assurance et personnel assimilé en administration des affaires -> Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres
1312	Business, finance and administration occupations -> Finance, insurance and related business administrative occupations -> Insurance adjusters and claims examiners                                                                                                    	Affaires, finance et administration -> Personnel en finance, assurance et personnel assimilé en administration des affaires -> Experts/expertes en sinistres et rédacteurs/rédactrices sinistres
1313	Business, finance and administration occupations -> Finance, insurance and related business administrative occupations -> Insurance underwriters                                                                                                                      	Affaires, finance et administration -> Personnel en finance, assurance et personnel assimilé en administration des affaires -> Assureurs/assureures
