Programs / Programmes
---------------------

ABS	Agriculture & Biological Science                    	Sciences agricoles et biologiques
4156	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Employment counsellors                                                                                	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Conseillers/conseillères en emploi
416 	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Policy and program researchers, consultants and officers                                              	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Recherchistes, experts-conseils/expertes-conseils et agents/agentes des politiques et des programmes
4161	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Natural and applied science policy researchers, consultants and program officers                      	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes, en sciences naturelles et appliquées
4162	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Economists and economic policy researchers and analysts                                               	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Économistes, recherchistes et analystes des politiques économiques
4163	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Business development officers and marketing researchers and consultants                               	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Agents/agentes de développement économique, recherchistes et experts-conseils/expertes-conseils en marketing
4164	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Social policy researchers, consultants and program officers                                           	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques sociales
4165	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Health policy researchers, consultants and program officers                                           	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé
4166	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Education policy researchers, consultants and program officers                                        	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement
4167	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Recreation, sports and fitness policy researchers, consultants and program officers                   	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programme en sports, en loisirs et en conditionnement physique
4168	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Program officers unique to government                                                                 	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Agents/agentes de programmes propres au gouvernement
4169	Occupations in education, law and social, community and government services -> Professional occupations in law and social, community and government services -> Other professional occupations in social science, n.e.c.                                              	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel en services d'enseignement -> Autres professionnels/professionnelles des sciences sociales, n.c.a.
42  	Occupations in education, law and social, community and government services -> Paraprofessional occupations in legal, social, community and education services                                                                                                        	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires
4211	Occupations in education, law and social, community and government services -> Paraprofessional occupations in legal, social, community and education services -> Paralegal and related occupations                                                                   	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires -> Techniciens/techniciennes juridiques et personnel assimilé
4212	Occupations in education, law and social, community and government services -> Paraprofessional occupations in legal, social, community and education services -> Social and community service workers                                                                	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires -> Travailleurs/travailleuses des services sociaux et communautaires
4214	Occupations in education, law and social, community and government services -> Paraprofessional occupations in legal, social, community and education services -> Early childhood educators and assistants                                                            	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires -> Éducateurs/éducatrices et aides-éducateurs/aides-éducatrices de la petite enfance
4215	Occupations in education, law and social, community and government services -> Paraprofessional occupations in legal, social, community and education services -> Instructors of persons with disabilities                                                            	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires -> Instructeurs/instructrices pour personnes ayant une déficience
4216	Occupations in education, law and social, community and government services -> Paraprofessional occupations in legal, social, community and education services -> Other instructors                                                                                   	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires -> Autres instructeurs/instructrices
4217	Occupations in education, law and social, community and government services -> Paraprofessional occupations in legal, social, community and education services -> Other religious occupations                                                                         	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires -> Autre personnel relié à la religion
4311	Occupations in education, law and social, community and government services -> Occupations in front-line public protection services -> Police officers (except commissioned)                                                                                          	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement -> Policiers/policières (sauf cadres supérieurs)
4312	Occupations in education, law and social, community and government services -> Occupations in front-line public protection services -> Firefighters                                                                                                                   	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement -> Pompiers/pompières
4313	Occupations in education, law and social, community and government services -> Occupations in front-line public protection services -> Non-commissioned ranks of the Canadian Forces                                                                                  	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement -> Sous-officiers/sous-officières des Forces armées canadiennes
441 	Occupations in education, law and social, community and government services -> Care providers and educational, legal and public protection support occupations -> Home care providers and educational support occupations                                             	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel des services de protection public de première ligne -> Dispensateurs/dispensatrices de soins en milieu familial et personnel de soutien en enseignement
4411	Occupations in education, law and social, community and government services -> Care providers and educational, legal and public protection support occupations -> Home child care providers                                                                           	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel des services de protection public de première ligne -> Gardiens/gardiennes d'enfants en milieu familial
4412	Occupations in education, law and social, community and government services -> Care providers and educational, legal and public protection support occupations -> Home support workers, housekeepers and related occupations                                          	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel des services de protection public de première ligne -> Aides familiaux résidents/aides familiales résidentes, aides de maintien à domicile et personnel assimilé
4413	Occupations in education, law and social, community and government services -> Care providers and educational, legal and public protection support occupations -> Elementary and secondary school teacher assistants                                                  	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel des services de protection public de première ligne -> Aides-enseignants/aides-enseignantes aux niveaux primaire et secondaire
4421	Occupations in education, law and social, community and government services -> Care providers and educational, legal and public protection support occupations -> Sheriffs and bailiffs                                                                               	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel des services de protection public de première ligne -> Shérifs et huissiers/huissières de justice
4422	Occupations in education, law and social, community and government services -> Care providers and educational, legal and public protection support occupations -> Correctional service officers                                                                       	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel des services de protection public de première ligne -> Agents/agentes de services correctionnels
4423	Occupations in education, law and social, community and government services -> Care providers and educational, legal and public protection support occupations -> By-law enforcement and other regulatory officers, n.e.c.                                            	Enseignement, droit et services sociaux, communautaires et gouvernementaux -> Personnel des services de protection public de première ligne -> Agents/agentes d'application de règlements municipaux et autres agents/agentes de réglementation, n.c.a.
5   	Occupations in art, culture, recreation and sport                                                                                                                                                                                                                     	Arts, culture, sports et loisirs
511 	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Librarians, archivists, conservators and curators                                                                                                                 	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Professionnels/professionnelles des bibliothèques, des archives, des musées et des galeries d'art
5111	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Librarians                                                                                                                                                        	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Bibliothécaires
5112	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Conservators and curators                                                                                                                                         	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Restaurateurs/restauratrices et conservateurs/conservatrices
5113	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Archivists                                                                                                                                                        	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Archivistes
512 	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Writing, translating and related communications professionals                                                                                                     	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Professionnels/professionnelles de la rédaction, de la traduction et personnel professionnel assimilé des communications
5121	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Authors and writers                                                                                                                                               	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Auteurs/auteures, rédacteurs/rédactrices et écrivains/écrivaines
5122	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Editors                                                                                                                                                           	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles
5123	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Journalists                                                                                                                                                       	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Journalistes
5125	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Translators, terminologists and interpreters                                                                                                                      	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Traducteurs/traductrices, terminologues et interprètes
513 	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Creative and performing artists                                                                                                                                   	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Professionnels/professionnelles des arts plastiques et des arts de la scène
5131	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Producers, directors, choreographers and related occupations                                                                                                      	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Producteurs/productrices, réalisateurs/réalisatrices, chorégraphes et personnel assimilé
5132	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Conductors, composers and arrangers                                                                                                                               	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Chefs d'orchestre, compositeurs/compositrices et arrangeurs/arrangeuses
5133	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Musicians and singers                                                                                                                                             	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Musiciens/musiciennes et chanteurs/chanteuses
5134	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Dancers                                                                                                                                                           	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Danseurs/danseuses
5135	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Actors and comedians                                                                                                                                              	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Acteurs/actrices et comédiens/comédiennes
5136	Occupations in art, culture, recreation and sport -> Professional occupations in art and culture -> Painters, sculptors and other visual artists                                                                                                                      	Arts, culture, sports et loisirs -> Personnel professionnel des arts et de la culture -> Peintres, sculpteurs/sculpteures et autres artistes des arts visuels
52  	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport                                                                                                                                                      	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs
5211	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Library and public archive technicians                                                                                                            	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Techniciens/techniciennes dans les bibliothèques et les services d'archives publiques
5212	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Technical occupations related to museums and art galleries                                                                                        	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Personnel technique des musées et des galeries d'art
522 	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts      	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Photographes, techniciens/techniciennes en graphisme et personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène
5221	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Photographers                                                                                                                                     	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Photographes
5222	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Film and video camera operators                                                                                                                   	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo
5223	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Graphic arts technicians                                                                                                                          	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Techniciens/techniciennes en graphisme
5224	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Broadcast technicians                                                                                                                             	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Techniciens/techniciennes en radiotélédiffusion
5225	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Audio and video recording technicians                                                                                                             	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Techniciens/techniciennes en enregistrement audio et vidéo
5226	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts                                            	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène
5227	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Support occupations in motion pictures, broadcasting, photography and the performing arts                                                         	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène
5231	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Announcers and other broadcasters                                                                                                                 	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Annonceurs/annonceuses et autres communicateurs/communicatrices
5232	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Other performers, n.e.c.                                                                                                                          	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Autres artistes de spectacle, n.c.a.
524 	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Creative designers and craftspersons                                                                                                              	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Concepteurs/conceptrices artistiques et artisans/artisanes
5241	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Graphic designers and illustrators                                                                                                                	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Designers graphiques et illustrateurs/illustratrices
5242	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Interior designers and interior decorators                                                                                                        	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Designers d'intérieur et décorateurs/décoratrices d'intérieur
5243	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Theatre, fashion, exhibit and other creative designers                                                                                            	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Ensembliers/ensemblières de théâtre, dessinateurs/dessinatrices de mode, concepteurs/conceptrices d'expositions et autres concepteurs/conceptrices artistiques
5244	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Artisans and craftspersons                                                                                                                        	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Artisans/artisanes
525 	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Athletes, coaches, referees and related occupations                                                                                               	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Athlètes, entraîneurs/entraîneuses, arbitres et personnel assimilé des sports et des loisirs
5251	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Athletes                                                                                                                                          	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Athlètes
5252	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Coaches                                                                                                                                           	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Entraîneurs/entraîneuses
5253	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Sports officials and referees                                                                                                                     	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Arbitres et officiels/officielles de sports
5254	Occupations in art, culture, recreation and sport -> Technical occupations in art, culture, recreation and sport -> Program leaders and instructors in recreation, sport and fitness                                                                                  	Arts, culture, sports et loisirs -> Personnel technique des arts, de la culture, des sports et des loisirs -> Animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique
6   	Sales and service occupations                                                                                                                                                                                                                                         	Vente et services
62  	Sales and service occupations -> Retail sales supervisors and specialized sales occupations                                                                                                                                                                           	Vente et services -> Personnel de supervision des ventes au détail et personnel des ventes spécialisées
6211	Sales and service occupations -> Retail sales supervisors and specialized sales occupations -> Retail sales supervisors                                                                                                                                               	Vente et services -> Personnel de supervision des ventes au détail et personnel des ventes spécialisées -> Superviseurs/superviseures des ventes - commerce de détail
6221	Sales and service occupations -> Retail sales supervisors and specialized sales occupations -> Technical sales specialists - wholesale trade                                                                                                                          	Vente et services -> Personnel de supervision des ventes au détail et personnel des ventes spécialisées -> Spécialistes des ventes techniques - commerce de gros
6222	Sales and service occupations -> Retail sales supervisors and specialized sales occupations -> Retail and wholesale buyers                                                                                                                                            	Vente et services -> Personnel de supervision des ventes au détail et personnel des ventes spécialisées -> Acheteurs/acheteuses des commerces de détail et de gros
623 	Sales and service occupations -> Retail sales supervisors and specialized sales occupations -> Insurance, real estate and financial sales occupations                                                                                                                 	Vente et services -> Personnel de supervision des ventes au détail et personnel des ventes spécialisées -> Personnel de l'assurance, de l'immobilier et des ventes financières
6231	Sales and service occupations -> Retail sales supervisors and specialized sales occupations -> Insurance agents and brokers                                                                                                                                           	Vente et services -> Personnel de supervision des ventes au détail et personnel des ventes spécialisées -> Agents/agentes et courtiers/courtières d'assurance
6232	Sales and service occupations -> Retail sales supervisors and specialized sales occupations -> Real estate agents and salespersons                                                                                                                                    	Vente et services -> Personnel de supervision des ventes au détail et personnel des ventes spécialisées -> Agents/agentes et vendeurs/vendeuses en immobilier
6235	Sales and service occupations -> Retail sales supervisors and specialized sales occupations -> Financial sales representatives                                                                                                                                        	Vente et services -> Personnel de supervision des ventes au détail et personnel des ventes spécialisées -> Représentants/représentantes des ventes financières
63  	Sales and service occupations -> Service supervisors and specialized service occupations                                                                                                                                                                              	Vente et services -> Personnel de supervision en services et personnel de services spécialisés
631 	Sales and service occupations -> Service supervisors and specialized service occupations -> Service supervisors                                                                                                                                                       	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Superviseurs/superviseures de services
6311	Sales and service occupations -> Service supervisors and specialized service occupations -> Food service supervisors                                                                                                                                                  	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Superviseurs/superviseures des services alimentaires
6312	Sales and service occupations -> Service supervisors and specialized service occupations -> Executive housekeepers                                                                                                                                                    	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Gouvernants principaux/gouvernantes principales
6313	Sales and service occupations -> Service supervisors and specialized service occupations -> Accommodation, travel, tourism and related services supervisors                                                                                                           	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes
6314	Sales and service occupations -> Service supervisors and specialized service occupations -> Customer and information services supervisors                                                                                                                             	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Superviseurs/superviseures des services d'information et des services à la clientèle
6315	Sales and service occupations -> Service supervisors and specialized service occupations -> Cleaning supervisors                                                                                                                                                      	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Surveillants/surveillantes des services de nettoyage
6316	Sales and service occupations -> Service supervisors and specialized service occupations -> Other services supervisors                                                                                                                                                	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Surveillants/surveillantes des autres services
6321	Sales and service occupations -> Service supervisors and specialized service occupations -> Chefs                                                                                                                                                                     	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Chefs
6322	Sales and service occupations -> Service supervisors and specialized service occupations -> Cooks                                                                                                                                                                     	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Cuisiniers/cuisinières
6331	Sales and service occupations -> Service supervisors and specialized service occupations -> Butchers, meat cutters and fishmongers - retail and wholesale                                                                                                             	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Bouchers/bouchères, coupeurs/coupeuses de viande et poissonniers/poissonnières - commerce de gros et de détail
6332	Sales and service occupations -> Service supervisors and specialized service occupations -> Bakers                                                                                                                                                                    	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Boulangers-pâtissiers/boulangères-pâtissières
6341	Sales and service occupations -> Service supervisors and specialized service occupations -> Hairstylists and barbers                                                                                                                                                  	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Coiffeurs/coiffeuses et barbiers
6342	Sales and service occupations -> Service supervisors and specialized service occupations -> Tailors, dressmakers, furriers and milliners                                                                                                                              	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes
6343	Sales and service occupations -> Service supervisors and specialized service occupations -> Shoe repairers and shoemakers                                                                                                                                             	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Cordonniers/cordonnières et fabricants/fabricantes de chaussures
6344	Sales and service occupations -> Service supervisors and specialized service occupations -> Jewellers, jewellery and watch repairers and related occupations                                                                                                          	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Bijoutiers/bijoutières, réparateurs/réparatrices de bijoux, horlogers-rhabilleurs/horlogères-rhabilleuses et personnel assimilé
6346	Sales and service occupations -> Service supervisors and specialized service occupations -> Funeral directors and embalmers                                                                                                                                           	Vente et services -> Personnel de supervision en services et personnel de services spécialisés -> Directeurs/directrices de funérailles et embaumeurs/embaumeuses
64  	Sales and service occupations -> Sales representatives and salespersons - wholesale and retail trade                                                                                                                                                                  	Vente et services -> Représentants/représentantes des ventes et vendeurs/vendeuses - commerce de gros et de détail
6411	Sales and service occupations -> Sales representatives and salespersons - wholesale and retail trade -> Sales and account representatives - wholesale trade (non-technical)                                                                                           	Vente et services -> Représentants/représentantes des ventes et vendeurs/vendeuses - commerce de gros et de détail -> Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique)
6421	Sales and service occupations -> Sales representatives and salespersons - wholesale and retail trade -> Retail salespersons                                                                                                                                           	Vente et services -> Représentants/représentantes des ventes et vendeurs/vendeuses - commerce de gros et de détail -> Vendeurs/vendeuses - commerce de détail
65  	Sales and service occupations -> Service representatives and other customer and personal services occupations                                                                                                                                                         	Vente et services -> Représentants/représentantes de services et autre personnel de services à la clientèle et personnalisés
651 	Sales and service occupations -> Service representatives and other customer and personal services occupations -> Occupations in food and beverage service                                                                                                             	Vente et services -> Représentants/représentantes de services et autre personnel de services à la clientèle et personnalisés -> Personnel des services des aliments et des boissons
6511	Sales and service occupations -> Service representatives and other customer and personal services occupations -> Maîtres d'hôtel and hosts/hostesses                                                                                                                  	Vente et services -> Représentants/représentantes de services et autre personnel de services à la clientèle et personnalisés -> Maîtres d'hôtel et hôtes/hôtesses
6512	Sales and service occupations -> Service representatives and other customer and personal services occupations -> Bartenders                                                                                                                                           	Vente et services -> Représentants/représentantes de services et autre personnel de services à la clientèle et personnalisés -> Barmans/barmaids
6513	Sales and service occupations -> Service representatives and other customer and personal services occupations -> Food and beverage servers                                                                                                                            	Vente et services -> Représentants/représentantes de services et autre personnel de services à la clientèle et personnalisés -> Serveurs/serveuses d'aliments et de boissons
