"Program","Year","University","Grades","Percent"
"AGR","2015","GUE","Avg",0
"AGR","2015","LAK",">=95",0
"AGR","2015","LAK","90-94",0
"AGR","2015","LAK","85-89",0
"AGR","2015","LAK","80-84",0
"AGR","2015","LAK","75-79",0
"AGR","2015","LAK","70-74",0
"AGR","2015","LAK","<70",0
"AGR","2015","LAK","Avg",0
"AGR","2015","LAU",">=95",0
"AGR","2015","LAU","90-94",0
"AGR","2015","LAU","85-89",0
"AGR","2015","LAU","80-84",0
"AGR","2015","LAU","75-79",0
"AGR","2015","LAU","70-74",0
"AGR","2015","LAU","<70",0
"AGR","2015","LAU","Avg",0
"AGR","2015","MCM",">=95",0
"AGR","2015","MCM","90-94",0
"AGR","2015","MCM","85-89",0
"AGR","2015","MCM","80-84",0
"AGR","2015","MCM","75-79",0
"AGR","2015","MCM","70-74",0
"AGR","2015","MCM","<70",0
"AGR","2015","MCM","Avg",0
"AGR","2015","NIP",">=95",0
"AGR","2015","NIP","90-94",0
"AGR","2015","NIP","85-89",0
"AGR","2015","NIP","80-84",0
"AGR","2015","NIP","75-79",0
"AGR","2015","NIP","70-74",0
"AGR","2015","NIP","<70",0
"AGR","2015","NIP","Avg",0
"AGR","2015","OCA",">=95",0
"AGR","2015","OCA","90-94",0
"AGR","2015","OCA","85-89",0
"AGR","2015","OCA","80-84",0
"AGR","2015","OCA","75-79",0
"AGR","2015","OCA","70-74",0
"AGR","2015","OCA","<70",0
"AGR","2015","OCA","Avg",0
"AGR","2015","OTT",">=95",0
"AGR","2015","OTT","90-94",0
"AGR","2015","OTT","85-89",0
"AGR","2015","OTT","80-84",0
"AGR","2015","OTT","75-79",0
"AGR","2015","OTT","70-74",0
"AGR","2015","OTT","<70",0
"AGR","2015","OTT","Avg",0
"AGR","2015","OSP",">=95",0
"AGR","2015","OSP","90-94",0
"AGR","2015","OSP","85-89",0
"AGR","2015","OSP","80-84",0
"AGR","2015","OSP","75-79",0
"AGR","2015","OSP","70-74",0
"AGR","2015","OSP","<70",0
"AGR","2015","OSP","Avg",0
"AGR","2015","UOI",">=95",0
"AGR","2015","UOI","90-94",0
"AGR","2015","UOI","85-89",0
"AGR","2015","UOI","80-84",0
"AGR","2015","UOI","75-79",0
"AGR","2015","UOI","70-74",0
"AGR","2015","UOI","<70",0
"AGR","2015","UOI","Avg",0
"AGR","2015","QUE",">=95",0
"AGR","2015","QUE","90-94",0
"AGR","2015","QUE","85-89",0
"AGR","2015","QUE","80-84",0
"AGR","2015","QUE","75-79",0
"AGR","2015","QUE","70-74",0
"AGR","2015","QUE","<70",0
"AGR","2015","QUE","Avg",0
"AGR","2015","RYE",">=95",0
"AGR","2015","RYE","90-94",0
"AGR","2015","RYE","85-89",0
"AGR","2015","RYE","80-84",0
"AGR","2015","RYE","75-79",0
"AGR","2015","RYE","70-74",0
"AGR","2015","RYE","<70",0
"AGR","2015","RYE","Avg",0
"AGR","2015","TAC",">=95",0
"AGR","2015","TAC","90-94",0
"AGR","2015","TAC","85-89",0
"AGR","2015","TAC","80-84",0
"AGR","2015","TAC","75-79",0
"AGR","2015","TAC","70-74",0
"AGR","2015","TAC","<70",0
"AGR","2015","TAC","Avg",0
"AGR","2015","TRE",">=95",0
"AGR","2015","TRE","90-94",0
"AGR","2015","TRE","85-89",0
"AGR","2015","TRE","80-84",0
"AGR","2015","TRE","75-79",0
"AGR","2015","TRE","70-74",0
"AGR","2015","TRE","<70",0
"AGR","2015","TRE","Avg",.821
"AGR","2015","WAT",">=95",0
"AGR","2015","WAT","90-94",0
"AGR","2015","WAT","85-89",0
"AGR","2015","WAT","80-84",0
"AGR","2015","WAT","75-79",0
"AGR","2015","WAT","70-74",0
"AGR","2015","WAT","<70",0
"AGR","2015","WAT","Avg",0
"AGR","2015","WMC",">=95",0
"AGR","2015","WMC","90-94",0
"AGR","2015","WMC","85-89",0
"AGR","2015","WMC","80-84",0
"AGR","2015","WMC","75-79",0
"AGR","2015","WMC","70-74",0
"AGR","2015","WMC","<70",0
"AGR","2015","WMC","Avg",0
"AGR","2015","WBC",">=95",0
"AGR","2015","WBC","90-94",0
"AGR","2015","WBC","85-89",0
"AGR","2015","WBC","80-84",0
"AGR","2015","WBC","75-79",0
"AGR","2015","WBC","70-74",0
"AGR","2015","WBC","<70",0
"AGR","2015","WBC","Avg",0
"AGR","2015","WHC",">=95",0
"AGR","2015","WHC","90-94",0
"AGR","2015","WHC","85-89",0
"AGR","2015","WHC","80-84",0
"AGR","2015","WHC","75-79",0
"AGR","2015","WHC","70-74",0
"AGR","2015","WHC","<70",0
"AGR","2015","WHC","Avg",0
"AGR","2015","WKC",">=95",0
"AGR","2015","WKC","90-94",0
"AGR","2015","WKC","85-89",0
"AGR","2015","WKC","80-84",0
"AGR","2015","WKC","75-79",0
"AGR","2015","WKC","70-74",0
"AGR","2015","WKC","<70",0
"AGR","2015","WKC","Avg",0
"AGR","2015","WLA",">=95",0
"AGR","2015","WLA","90-94",0
"AGR","2015","WLA","85-89",0
"AGR","2015","WLA","80-84",0
"AGR","2015","WLA","75-79",0
"AGR","2015","WLA","70-74",0
"AGR","2015","WLA","<70",0
"AGR","2015","WLA","Avg",0
"AGR","2015","WIN",">=95",0
"AGR","2015","WIN","90-94",0
"AGR","2015","WIN","85-89",0
"AGR","2015","WIN","80-84",0
"AGR","2015","WIN","75-79",0
"AGR","2015","WIN","70-74",0
"AGR","2015","WIN","<70",0
"AGR","2015","WIN","Avg",0
"AGR","2015","YOR",">=95",0
"AGR","2015","YOR","90-94",0
"AGR","2015","YOR","85-89",0
"AGR","2015","YOR","80-84",0
"AGR","2015","YOR","75-79",0
"AGR","2015","YOR","70-74",0
"AGR","2015","YOR","<70",0
"AGR","2015","YOR","Avg",0
"AGR","2014","ALG",">=95",0
"AGR","2014","ALG","90-94",0
"AGR","2014","ALG","85-89",0
"AGR","2014","ALG","80-84",0
"AGR","2014","ALG","75-79",0
"AGR","2014","ALG","70-74",0
"AGR","2014","ALG","<70",0
"AGR","2014","ALG","Avg",0
"AGR","2014","BRO",">=95",
"AGR","2014","BRO","90-94",
"AGR","2014","BRO","85-89",
"AGR","2014","BRO","80-84",
"AGR","2014","BRO","75-79",
"AGR","2014","BRO","70-74",
"AGR","2014","BRO","<70",
"AGR","2014","BRO","Avg",
"AGR","2014","CAR",">=95",0
"AGR","2014","CAR","90-94",0
"AGR","2014","CAR","85-89",0
"AGR","2014","CAR","80-84",0
"AGR","2014","CAR","75-79",0
"AGR","2014","CAR","70-74",0
"AGR","2014","CAR","<70",0
"AGR","2014","CAR","Avg",0
"AGR","2014","GUE",">=95",0
"AGR","2014","GUE","90-94",.125
"AGR","2014","GUE","85-89",.158
"AGR","2014","GUE","80-84",.367
"AGR","2014","GUE","75-79",.258
"AGR","2014","GUE","70-74",.058
"AGR","2014","GUE","<70",0
"AGR","2014","GUE","Avg",.825
"AGR","2014","LAK",">=95",
"AGR","2014","LAK","90-94",
"AGR","2014","LAK","85-89",
"AGR","2014","LAK","80-84",
"AGR","2014","LAK","75-79",
"AGR","2014","LAK","70-74",
"AGR","2014","LAK","<70",
"AGR","2014","LAK","Avg",
"AGR","2014","LAU",">=95",
"AGR","2014","LAU","90-94",
"AGR","2014","LAU","85-89",
"AGR","2014","LAU","80-84",
"AGR","2014","LAU","75-79",
"AGR","2014","LAU","70-74",
"AGR","2014","LAU","<70",
"AGR","2014","LAU","Avg",
"AGR","2014","MCM",">=95",
"AGR","2014","MCM","90-94",
"AGR","2014","MCM","85-89",
"AGR","2014","MCM","80-84",
"AGR","2014","MCM","75-79",
"AGR","2014","MCM","70-74",
"AGR","2014","MCM","<70",
"AGR","2014","MCM","Avg",
"AGR","2014","NIP",">=95",
"AGR","2014","NIP","90-94",
"AGR","2014","NIP","85-89",
"AGR","2014","NIP","80-84",
"AGR","2014","NIP","75-79",
"AGR","2014","NIP","70-74",
"AGR","2014","NIP","<70",
"AGR","2014","NIP","Avg",
"AGR","2014","OCA",">=95",
"AGR","2014","OCA","90-94",
"AGR","2014","OCA","85-89",
"AGR","2014","OCA","80-84",
"AGR","2014","OCA","75-79",
"AGR","2014","OCA","70-74",
"AGR","2014","OCA","<70",
"AGR","2014","OCA","Avg",
"AGR","2014","OTT",">=95",
"AGR","2014","OTT","90-94",
"AGR","2014","OTT","85-89",
"AGR","2014","OTT","80-84",
"AGR","2014","OTT","75-79",
"AGR","2014","OTT","70-74",
"AGR","2014","OTT","<70",
"AGR","2014","OTT","Avg",
"AGR","2014","OSP",">=95",0
"AGR","2014","OSP","90-94",0
"AGR","2014","OSP","85-89",0
"AGR","2014","OSP","80-84",0
"AGR","2014","OSP","75-79",0
"AGR","2014","OSP","70-74",0
"AGR","2014","OSP","<70",0
"AGR","2014","OSP","Avg",0
"AGR","2014","UOI",">=95",
"AGR","2014","UOI","90-94",
"AGR","2014","UOI","85-89",
"AGR","2014","UOI","80-84",
"AGR","2014","UOI","75-79",
"AGR","2014","UOI","70-74",
"AGR","2014","UOI","<70",
"AGR","2014","UOI","Avg",
"AGR","2014","QUE",">=95",
"AGR","2014","QUE","90-94",
"AGR","2014","QUE","85-89",
"AGR","2014","QUE","80-84",
"AGR","2014","QUE","75-79",
"AGR","2014","QUE","70-74",
"AGR","2014","QUE","<70",
"AGR","2014","QUE","Avg",
"AGR","2014","RYE",">=95",
"AGR","2014","RYE","90-94",
"AGR","2014","RYE","85-89",
"AGR","2014","RYE","80-84",
"AGR","2014","RYE","75-79",
"AGR","2014","RYE","70-74",
"AGR","2014","RYE","<70",
"AGR","2014","RYE","Avg",
"AGR","2014","TAC",">=95",0
"AGR","2014","TAC","90-94",0
"AGR","2014","TAC","85-89",0
"AGR","2014","TAC","80-84",0
"AGR","2014","TAC","75-79",0
"AGR","2014","TAC","70-74",0
"AGR","2014","TAC","<70",0
"AGR","2014","TAC","Avg",0
"AGR","2014","TRE",">=95",0
"AGR","2014","TRE","90-94",0
"AGR","2014","TRE","85-89",0
"AGR","2014","TRE","80-84",0
"AGR","2014","TRE","75-79",0
"AGR","2014","TRE","70-74",0
"AGR","2014","TRE","<70",0
"AGR","2014","TRE","Avg",.805
"AGR","2014","WAT",">=95",
"AGR","2014","WAT","90-94",
"AGR","2014","WAT","85-89",
"AGR","2014","WAT","80-84",
"AGR","2014","WAT","75-79",
"AGR","2014","WAT","70-74",
"AGR","2014","WAT","<70",
"AGR","2014","WAT","Avg",
"AGR","2014","WMC",">=95",
"AGR","2014","WMC","90-94",
"AGR","2014","WMC","85-89",
"AGR","2014","WMC","80-84",
"AGR","2014","WMC","75-79",
"AGR","2014","WMC","70-74",
"AGR","2014","WMC","<70",
"AGR","2014","WMC","Avg",
"AGR","2014","WBC",">=95",
"AGR","2014","WBC","90-94",
"AGR","2014","WBC","85-89",
"AGR","2014","WBC","80-84",
"AGR","2014","WBC","75-79",
"AGR","2014","WBC","70-74",
"AGR","2014","WBC","<70",
"AGR","2014","WBC","Avg",
"AGR","2014","WHC",">=95",
"AGR","2014","WHC","90-94",
"AGR","2014","WHC","85-89",
"AGR","2014","WHC","80-84",
"AGR","2014","WHC","75-79",
"AGR","2014","WHC","70-74",
"AGR","2014","WHC","<70",
"AGR","2014","WHC","Avg",
"AGR","2014","WKC",">=95",
"AGR","2014","WKC","90-94",
"AGR","2014","WKC","85-89",
"AGR","2014","WKC","80-84",
"AGR","2014","WKC","75-79",
"AGR","2014","WKC","70-74",
"AGR","2014","WKC","<70",
"AGR","2014","WKC","Avg",
"AGR","2014","WLA",">=95",
"AGR","2014","WLA","90-94",
"AGR","2014","WLA","85-89",
"AGR","2014","WLA","80-84",
"AGR","2014","WLA","75-79",
"AGR","2014","WLA","70-74",
"AGR","2014","WLA","<70",
"AGR","2014","WLA","Avg",
"AGR","2014","WIN",">=95",
"AGR","2014","WIN","90-94",
"AGR","2014","WIN","85-89",
"AGR","2014","WIN","80-84",
"AGR","2014","WIN","75-79",
"AGR","2014","WIN","70-74",
"AGR","2014","WIN","<70",
"AGR","2014","WIN","Avg",
"AGR","2014","YOR",">=95",0
"AGR","2014","YOR","90-94",0
"AGR","2014","YOR","85-89",0
"AGR","2014","YOR","80-84",0
"AGR","2014","YOR","75-79",0
"AGR","2014","YOR","70-74",0
"AGR","2014","YOR","<70",0
"AGR","2014","YOR","Avg",0
"AGR","2013","ALG",">=95",0
"AGR","2013","ALG","90-94",0
"AGR","2013","ALG","85-89",0
"AGR","2013","ALG","80-84",0
"AGR","2013","ALG","75-79",0
"AGR","2013","ALG","70-74",0
"AGR","2013","ALG","<70",0
"AGR","2013","ALG","Avg",0
"AGR","2013","BRO",">=95",
"AGR","2013","BRO","90-94",
"AGR","2013","BRO","85-89",
"AGR","2013","BRO","80-84",
"AGR","2013","BRO","75-79",
"AGR","2013","BRO","70-74",
"AGR","2013","BRO","<70",
"AGR","2013","BRO","Avg",
"AGR","2013","CAR",">=95",0
"AGR","2013","CAR","90-94",0
"AGR","2013","CAR","85-89",0
"AGR","2013","CAR","80-84",0
"AGR","2013","CAR","75-79",0
"AGR","2013","CAR","70-74",0
"AGR","2013","CAR","<70",0
"AGR","2013","CAR","Avg",0
"AGR","2013","GUE",">=95",.015
"AGR","2013","GUE","90-94",.209
"AGR","2013","GUE","85-89",.179
"AGR","2013","GUE","80-84",.373
"AGR","2013","GUE","75-79",.164
"AGR","2013","GUE","70-74",.06
"AGR","2013","GUE","<70",0
"AGR","2013","GUE","Avg",.843
"AGR","2013","LAK",">=95",
"AGR","2013","LAK","90-94",
"AGR","2013","LAK","85-89",
"AGR","2013","LAK","80-84",
"AGR","2013","LAK","75-79",
"AGR","2013","LAK","70-74",
"AGR","2013","LAK","<70",
"AGR","2013","LAK","Avg",
"AGR","2013","LAU",">=95",
"AGR","2013","LAU","90-94",
"AGR","2013","LAU","85-89",
"AGR","2013","LAU","80-84",
"AGR","2013","LAU","75-79",
"AGR","2013","LAU","70-74",
"AGR","2013","LAU","<70",
"AGR","2013","LAU","Avg",
"AGR","2013","MCM",">=95",
"AGR","2013","MCM","90-94",
"AGR","2013","MCM","85-89",
"AGR","2013","MCM","80-84",
"AGR","2013","MCM","75-79",
"AGR","2013","MCM","70-74",
"AGR","2013","MCM","<70",
"AGR","2013","MCM","Avg",
"AGR","2013","NIP",">=95",
"AGR","2013","NIP","90-94",
"AGR","2013","NIP","85-89",
"AGR","2013","NIP","80-84",
"AGR","2013","NIP","75-79",
"AGR","2013","NIP","70-74",
"AGR","2013","NIP","<70",
"AGR","2013","NIP","Avg",
"AGR","2013","OCA",">=95",
"AGR","2013","OCA","90-94",
"AGR","2013","OCA","85-89",
"AGR","2013","OCA","80-84",
"AGR","2013","OCA","75-79",
"AGR","2013","OCA","70-74",
"AGR","2013","OCA","<70",
"AGR","2013","OCA","Avg",
"AGR","2013","OTT",">=95",
"AGR","2013","OTT","90-94",
"AGR","2013","OTT","85-89",
"AGR","2013","OTT","80-84",
"AGR","2013","OTT","75-79",
"AGR","2013","OTT","70-74",
"AGR","2013","OTT","<70",
"AGR","2013","OTT","Avg",
"AGR","2013","OSP",">=95",0
"AGR","2013","OSP","90-94",0
"AGR","2013","OSP","85-89",0
"AGR","2013","OSP","80-84",0
"AGR","2013","OSP","75-79",0
"AGR","2013","OSP","70-74",0
"AGR","2013","OSP","<70",0
"AGR","2013","OSP","Avg",0
"AGR","2013","UOI",">=95",
"AGR","2013","UOI","90-94",
"AGR","2013","UOI","85-89",
"AGR","2013","UOI","80-84",
"AGR","2013","UOI","75-79",
"AGR","2013","UOI","70-74",
"AGR","2013","UOI","<70",
"AGR","2013","UOI","Avg",
"AGR","2013","QUE",">=95",
"AGR","2013","QUE","90-94",
"AGR","2013","QUE","85-89",
"AGR","2013","QUE","80-84",
"AGR","2013","QUE","75-79",
"AGR","2013","QUE","70-74",
"AGR","2013","QUE","<70",
"AGR","2013","QUE","Avg",
"AGR","2013","RYE",">=95",
"AGR","2013","RYE","90-94",
"AGR","2013","RYE","85-89",
"AGR","2013","RYE","80-84",
"AGR","2013","RYE","75-79",
"AGR","2013","RYE","70-74",
"AGR","2013","RYE","<70",
"AGR","2013","RYE","Avg",
"AGR","2013","TAC",">=95",
"AGR","2013","TAC","90-94",
"AGR","2013","TAC","85-89",
"AGR","2013","TAC","80-84",
"AGR","2013","TAC","75-79",
"AGR","2013","TAC","70-74",
"AGR","2013","TAC","<70",
"AGR","2013","TAC","Avg",
"AGR","2013","TRE",">=95",0
"AGR","2013","TRE","90-94",0
"AGR","2013","TRE","85-89",0
"AGR","2013","TRE","80-84",0
"AGR","2013","TRE","75-79",0
"AGR","2013","TRE","70-74",0
"AGR","2013","TRE","<70",0
"AGR","2013","TRE","Avg",.69
"AGR","2013","WAT",">=95",
"AGR","2013","WAT","90-94",
"AGR","2013","WAT","85-89",
"AGR","2013","WAT","80-84",
"AGR","2013","WAT","75-79",
"AGR","2013","WAT","70-74",
"AGR","2013","WAT","<70",
"AGR","2013","WAT","Avg",
"AGR","2013","WMC",">=95",
"AGR","2013","WMC","90-94",
"AGR","2013","WMC","85-89",
"AGR","2013","WMC","80-84",
"AGR","2013","WMC","75-79",
"AGR","2013","WMC","70-74",
"AGR","2013","WMC","<70",
"AGR","2013","WMC","Avg",
"AGR","2013","WBC",">=95",
"AGR","2013","WBC","90-94",
"AGR","2013","WBC","85-89",
"AGR","2013","WBC","80-84",
"AGR","2013","WBC","75-79",
"AGR","2013","WBC","70-74",
"AGR","2013","WBC","<70",
"AGR","2013","WBC","Avg",
"AGR","2013","WHC",">=95",
"AGR","2013","WHC","90-94",
"AGR","2013","WHC","85-89",
"AGR","2013","WHC","80-84",
"AGR","2013","WHC","75-79",
"AGR","2013","WHC","70-74",
"AGR","2013","WHC","<70",
"AGR","2013","WHC","Avg",
"AGR","2013","WKC",">=95",
"AGR","2013","WKC","90-94",
"AGR","2013","WKC","85-89",
"AGR","2013","WKC","80-84",
"AGR","2013","WKC","75-79",
"AGR","2013","WKC","70-74",
"AGR","2013","WKC","<70",
"AGR","2013","WKC","Avg",
"AGR","2013","WLA",">=95",
"AGR","2013","WLA","90-94",
"AGR","2013","WLA","85-89",
"AGR","2013","WLA","80-84",
"AGR","2013","WLA","75-79",
"AGR","2013","WLA","70-74",
"AGR","2013","WLA","<70",
"AGR","2013","WLA","Avg",
"AGR","2013","WIN",">=95",
"AGR","2013","WIN","90-94",
"AGR","2013","WIN","85-89",
"AGR","2013","WIN","80-84",
"AGR","2013","WIN","75-79",
"AGR","2013","WIN","70-74",
