"School","Year","Metric","Value","Headcount"
"LOY","14-15","Age","18 - 19","1014"
"LOY","15-16","Age","18 - 19","952"
"LOY","12-13","Age","20 - 24","1162"
"LOY","13-14","Age","20 - 24","1044"
"LOY","14-15","Age","20 - 24","1130"
"LOY","15-16","Age","20 - 24","1163"
"LOY","12-13","Age","25 - 29","283"
"LOY","13-14","Age","25 - 29","250"
"LOY","14-15","Age","25 - 29","253"
"LOY","15-16","Age","25 - 29","268"
"LOY","12-13","Age","30 - 34","134"
"LOY","13-14","Age","30 - 34","127"
"LOY","14-15","Age","30 - 34","117"
"LOY","15-16","Age","30 - 34","129"
"LOY","12-13","Age","35 - 39","85"
"LOY","13-14","Age","35 - 39","87"
"LOY","14-15","Age","35 - 39","84"
"LOY","15-16","Age","35 - 39","87"
"LOY","12-13","Age","40 - 44","59"
"LOY","13-14","Age","40 - 44","58"
"LOY","14-15","Age","40 - 44","55"
"LOY","15-16","Age","40 - 44","56"
"LOY","12-13","Age","45 - 49","40"
"LOY","13-14","Age","45 - 49","45"
"LOY","14-15","Age","45 - 49","42"
"LOY","15-16","Age","45 - 49","44"
"LOY","12-13","Age","50 - 54","17"
"LOY","13-14","Age","50 - 54","23"
"LOY","14-15","Age","50 - 54","29"
"LOY","15-16","Age","50 - 54","21"
"LOY","12-13","Age","55 - 59",
"LOY","13-14","Age","55 - 59",
"LOY","14-15","Age","55 - 59","11"
"LOY","15-16","Age","55 - 59","12"
"MOH","12-13","Age","0 - 17","176"
"MOH","13-14","Age","0 - 17","220"
"MOH","14-15","Age","0 - 17","217"
"MOH","15-16","Age","0 - 17","247"
"MOH","12-13","Age","18 - 19","3143"
"MOH","13-14","Age","18 - 19","3665"
"MOH","14-15","Age","18 - 19","3787"
"MOH","15-16","Age","18 - 19","3851"
"MOH","12-13","Age","20 - 24","5932"
"MOH","13-14","Age","20 - 24","6005"
"MOH","14-15","Age","20 - 24","6321"
"MOH","15-16","Age","20 - 24","6529"
"MOH","12-13","Age","25 - 29","1578"
"MOH","13-14","Age","25 - 29","1519"
"MOH","14-15","Age","25 - 29","1537"
"MOH","15-16","Age","25 - 29","1583"
"MOH","12-13","Age","30 - 34","522"
"MOH","13-14","Age","30 - 34","545"
"MOH","14-15","Age","30 - 34","494"
"MOH","15-16","Age","30 - 34","476"
"MOH","12-13","Age","35 - 39","308"
"MOH","13-14","Age","35 - 39","316"
