"School","Year","Metric","Value","Headcount"
"DUR","12-13","Program","215","57"
"DUR","13-14","Program","215","53"
"DUR","14-15","Program","215","64"
"DUR","15-16","Program","215","83"
"DUR","12-13","Program","532","118"
"DUR","13-14","Program","532",
"DUR","14-15","Program","532",
"DUR","15-16","Program","532",
"DUR","12-13","Program","533","120"
"DUR","13-14","Program","533","132"
"DUR","14-15","Program","533","126"
"DUR","15-16","Program","533","132"
"DUR","12-13","Program","534","38"
"DUR","13-14","Program","534","18"
"DUR","14-15","Program","534","30"
"DUR","15-16","Program","534","29"
"DUR","12-13","Program","535",
"DUR","13-14","Program","535","48"
"DUR","14-15","Program","535","91"
"DUR","15-16","Program","535","87"
"DUR","12-13","Program","109","50"
"DUR","13-14","Program","109","43"
"DUR","14-15","Program","109","32"
"DUR","15-16","Program","109","43"
"DUR","12-13","Program","110","22"
"DUR","13-14","Program","110","17"
"DUR","14-15","Program","110","19"
"DUR","15-16","Program","110","25"
"DUR","12-13","Program","111","45"
"DUR","13-14","Program","111","43"
"DUR","14-15","Program","111","37"
"DUR","15-16","Program","111","31"
"DUR","12-13","Program","112","111"
"DUR","13-14","Program","112","105"
"DUR","14-15","Program","112","136"
"DUR","15-16","Program","112","172"
"DUR","12-13","Program","117","176"
"DUR","13-14","Program","117","203"
"DUR","14-15","Program","117","206"
"DUR","15-16","Program","117","209"
"DUR","12-13","Program","118","63"
"DUR","13-14","Program","118","60"
"DUR","14-15","Program","118","70"
"DUR","15-16","Program","118","83"
"DUR","12-13","Program","121","75"
"DUR","13-14","Program","121","78"
"DUR","14-15","Program","121","70"
"DUR","15-16","Program","121","79"
"DUR","12-13","Program","536","86"
"DUR","13-14","Program","536","101"
"DUR","14-15","Program","536","95"
"DUR","15-16","Program","536","99"
"DUR","12-13","Program","123","374"
"DUR","13-14","Program","123","376"
"DUR","14-15","Program","123","357"
"DUR","15-16","Program","123","350"
"DUR","12-13","Program","222","112"
"DUR","13-14","Program","222","94"
"DUR","14-15","Program","222","84"
"DUR","15-16","Program","222","86"
"DUR","12-13","Program","125","267"
"DUR","13-14","Program","125","279"
"DUR","14-15","Program","125","286"
"DUR","15-16","Program","125","301"
"DUR","12-13","Program","537","28"
"DUR","13-14","Program","537","31"
"DUR","14-15","Program","537","18"
"DUR","15-16","Program","537","0"
"DUR","12-13","Program","126","74"
"DUR","13-14","Program","126","58"
"DUR","14-15","Program","126","72"
"DUR","15-16","Program","126","72"
"DUR","12-13","Program","129",
"DUR","13-14","Program","129","27"
"DUR","14-15","Program","129","28"
"DUR","15-16","Program","129","29"
"DUR","12-13","Program","130","96"
"DUR","13-14","Program","130","103"
"DUR","14-15","Program","130","91"
"DUR","15-16","Program","130","81"
"DUR","12-13","Program","538","37"
"DUR","13-14","Program","538","53"
"DUR","14-15","Program","538","48"
"DUR","15-16","Program","538","51"
"DUR","12-13","Program","539","111"
"DUR","13-14","Program","539","104"
"DUR","14-15","Program","539","108"
"DUR","15-16","Program","539","137"
"DUR","12-13","Program","540","56"
"DUR","13-14","Program","540","47"
"DUR","14-15","Program","540","61"
"DUR","15-16","Program","540","54"
"DUR","12-13","Program","136","171"
"DUR","13-14","Program","136","208"
"DUR","14-15","Program","136","212"
"DUR","15-16","Program","136","215"
"DUR","12-13","Program","541",
"DUR","13-14","Program","541","75"
"DUR","14-15","Program","541","108"
"DUR","15-16","Program","541","87"
"DUR","12-13","Program","542",
"DUR","13-14","Program","542","171"
"DUR","14-15","Program","542","186"
"DUR","15-16","Program","542","190"
"DUR","12-13","Program","137","31"
"DUR","13-14","Program","137","36"
"DUR","14-15","Program","137","32"
"DUR","15-16","Program","137","35"
"DUR","12-13","Program","543","30"
"DUR","13-14","Program","543","41"
"DUR","14-15","Program","543","59"
"DUR","15-16","Program","543","50"
"DUR","12-13","Program","544","143"
"DUR","13-14","Program","544",
"DUR","14-15","Program","544",
"DUR","15-16","Program","544",
"DUR","12-13","Program","545","80"
"DUR","13-14","Program","545","99"
"DUR","14-15","Program","545","95"
"DUR","15-16","Program","545","115"
"DUR","12-13","Program","142","83"
"DUR","13-14","Program","142","97"
"DUR","14-15","Program","142","78"
"DUR","15-16","Program","142","74"
"DUR","12-13","Program","546",
"DUR","13-14","Program","546","15"
"DUR","14-15","Program","546",
"DUR","15-16","Program","546","10"
"DUR","12-13","Program","144","28"
"DUR","13-14","Program","144","20"
"DUR","14-15","Program","144","21"
"DUR","15-16","Program","144","17"
"DUR","12-13","Program","547","60"
"DUR","13-14","Program","547","60"
"DUR","14-15","Program","547","55"
"DUR","15-16","Program","547","44"
"DUR","12-13","Program","548","93"
"DUR","13-14","Program","548",
"DUR","14-15","Program","548",
"DUR","15-16","Program","548",
"DUR","12-13","Program","396","40"
"DUR","13-14","Program","396","78"
"DUR","14-15","Program","396","95"
"DUR","15-16","Program","396","79"
"DUR","12-13","Program","549","32"
"DUR","13-14","Program","549","23"
"DUR","14-15","Program","549",
"DUR","15-16","Program","549",
"DUR","12-13","Program","550",
"DUR","13-14","Program","550",
"DUR","14-15","Program","550","23"
"DUR","15-16","Program","550","25"
"FAN","12-13","Program","551","29"
"FAN","13-14","Program","551","33"
"FAN","14-15","Program","551","14"
"FAN","15-16","Program","551","33"
"FAN","12-13","Program","552","33"
"FAN","13-14","Program","552","43"
"FAN","14-15","Program","552","29"
"FAN","15-16","Program","552","37"
"FAN","12-13","Program","397",
"FAN","13-14","Program","397",
"FAN","14-15","Program","397",
"FAN","15-16","Program","397","16"
"FAN","12-13","Program","553",
"FAN","13-14","Program","553","14"
"FAN","14-15","Program","553","18"
"FAN","15-16","Program","553","24"
"FAN","12-13","Program","8","326"
"FAN","13-14","Program","8","326"
"FAN","14-15","Program","8","311"
"FAN","15-16","Program","8","288"
"FAN","12-13","Program","554",
"FAN","13-14","Program","554","15"
"FAN","14-15","Program","554",
"FAN","15-16","Program","554",
"FAN","12-13","Program","555","23"
"FAN","13-14","Program","555","28"
"FAN","14-15","Program","555","26"
"FAN","15-16","Program","555","27"
"FAN","12-13","Program","9","33"
"FAN","13-14","Program","9","78"
"FAN","14-15","Program","9","77"
"FAN","15-16","Program","9","68"
"FAN","12-13","Program","231",
"FAN","13-14","Program","231",
"FAN","14-15","Program","231","73"
"FAN","15-16","Program","231","0"
"FAN","12-13","Program","232","50"
"FAN","13-14","Program","232",
"FAN","14-15","Program","232","35"
"FAN","15-16","Program","232","0"
"FAN","12-13","Program","231",
"FAN","13-14","Program","231","38"
"FAN","14-15","Program","231",
"FAN","15-16","Program","231",
"FAN","12-13","Program","232",
"FAN","13-14","Program","232","48"
"FAN","14-15","Program","232",
"FAN","15-16","Program","232",
"FAN","12-13","Program","556","38"
"FAN","13-14","Program","556","31"
"FAN","14-15","Program","556","38"
"FAN","15-16","Program","556","42"
"FAN","12-13","Program","557","64"
"FAN","13-14","Program","557","78"
"FAN","14-15","Program","557",
"FAN","15-16","Program","557",
"FAN","12-13","Program","558",
"FAN","13-14","Program","558",
"FAN","14-15","Program","558","84"
"FAN","15-16","Program","558","101"
"FAN","12-13","Program","559",
"FAN","13-14","Program","559",
"FAN","14-15","Program","559",
"FAN","15-16","Program","559","66"
"FAN","12-13","Program","560",
"FAN","13-14","Program","560",
"FAN","14-15","Program","560",
"FAN","15-16","Program","560","21"
"FAN","12-13","Program","561",
"FAN","13-14","Program","561",
"FAN","14-15","Program","561",
"FAN","15-16","Program","561","16"
"FAN","12-13","Program","562","59"
"FAN","13-14","Program","562","64"
"FAN","14-15","Program","562","68"
"FAN","15-16","Program","562","68"
"FAN","12-13","Program","16",
"FAN","13-14","Program","16","18"
"FAN","14-15","Program","16","35"
"FAN","15-16","Program","16","53"
"FAN","12-13","Program","21","93"
"FAN","13-14","Program","21","83"
"FAN","14-15","Program","21","94"
"FAN","15-16","Program","21","84"
"FAN","12-13","Program","22","153"
"FAN","13-14","Program","22","199"
"FAN","14-15","Program","22","197"
"FAN","15-16","Program","22","202"
"FAN","12-13","Program","563","13"
"FAN","13-14","Program","563","20"
"FAN","14-15","Program","563","16"
"FAN","15-16","Program","563","15"
"FAN","12-13","Program","24","431"
"FAN","13-14","Program","24","384"
"FAN","14-15","Program","24","383"
"FAN","15-16","Program","24","452"
"FAN","12-13","Program","25","526"
"FAN","13-14","Program","25","530"
"FAN","14-15","Program","25","431"
"FAN","15-16","Program","25","420"
"FAN","12-13","Program","564","12"
"FAN","13-14","Program","564",
"FAN","14-15","Program","564","28"
"FAN","15-16","Program","564","39"
"FAN","12-13","Program","280","138"
"FAN","13-14","Program","280","142"
"FAN","14-15","Program","280","190"
"FAN","15-16","Program","280","169"
"FAN","12-13","Program","376","145"
"FAN","13-14","Program","376","133"
"FAN","14-15","Program","376","159"
"FAN","15-16","Program","376","207"
"FAN","12-13","Program","414","102"
"FAN","13-14","Program","414","88"
"FAN","14-15","Program","414","71"
"FAN","15-16","Program","414","58"
"FAN","12-13","Program","565",
"FAN","13-14","Program","565",
"FAN","14-15","Program","565",
"FAN","15-16","Program","565","29"
"FAN","12-13","Program","27","461"
"FAN","13-14","Program","27","401"
"FAN","14-15","Program","27","451"
"FAN","15-16","Program","27","444"
"FAN","12-13","Program","566","0"
"FAN","13-14","Program","566",
"FAN","14-15","Program","566","37"
"FAN","15-16","Program","566","30"
"FAN","12-13","Program","415","61"
"FAN","13-14","Program","415","50"
"FAN","14-15","Program","415","47"
"FAN","15-16","Program","415","33"
"FAN","12-13","Program","564",
"FAN","13-14","Program","564","24"
"FAN","14-15","Program","564",
"FAN","15-16","Program","564",
"FAN","12-13","Program","566",
"FAN","13-14","Program","566","32"
"FAN","14-15","Program","566",
"FAN","15-16","Program","566",
"FAN","12-13","Program","29","52"
"FAN","13-14","Program","29","46"
"FAN","14-15","Program","29","23"
"FAN","15-16","Program","29","19"
"FAN","12-13","Program","31",
"FAN","13-14","Program","31",
"FAN","14-15","Program","31","18"
"FAN","15-16","Program","31","20"
"FAN","12-13","Program","285","33"
"FAN","13-14","Program","285",
"FAN","14-15","Program","285","26"
"FAN","15-16","Program","285","24"
"FAN","12-13","Program","33","60"
"FAN","13-14","Program","33","44"
"FAN","14-15","Program","33","45"
"FAN","15-16","Program","33","51"
"FAN","12-13","Program","31",
"FAN","13-14","Program","31","27"
"FAN","14-15","Program","31",
"FAN","15-16","Program","31",
"FAN","12-13","Program","285",
"FAN","13-14","Program","285","32"
"FAN","14-15","Program","285",
"FAN","15-16","Program","285",
"FAN","12-13","Program","286","126"
"FAN","13-14","Program","286","109"
"FAN","14-15","Program","286","104"
"FAN","15-16","Program","286","105"
"FAN","12-13","Program","567",
"FAN","13-14","Program","567",
"FAN","14-15","Program","567",
"FAN","15-16","Program","567","57"
"FAN","12-13","Program","39","366"
"FAN","13-14","Program","39","388"
"FAN","14-15","Program","39","400"
"FAN","15-16","Program","39","421"
"FAN","12-13","Program","40","239"
"FAN","13-14","Program","40","278"
"FAN","14-15","Program","40","297"
"FAN","15-16","Program","40","277"
"FAN","12-13","Program","153","257"
"FAN","13-14","Program","153","251"
"FAN","14-15","Program","153","244"
"FAN","15-16","Program","153","254"
"FAN","12-13","Program","378",
"FAN","13-14","Program","378",
"FAN","14-15","Program","378","0"
"FAN","15-16","Program","378","19"
"FAN","12-13","Program","190","368"
"FAN","13-14","Program","190","398"
"FAN","14-15","Program","190","397"
"FAN","15-16","Program","190","408"
"FAN","12-13","Program","44","103"
"FAN","13-14","Program","44","101"
"FAN","14-15","Program","44","81"
"FAN","15-16","Program","44","85"
"FAN","12-13","Program","191","292"
"FAN","13-14","Program","191","262"
"FAN","14-15","Program","191","276"
"FAN","15-16","Program","191","260"
"FAN","12-13","Program","568","17"
"FAN","13-14","Program","568","24"
"FAN","14-15","Program","568","11"
"FAN","15-16","Program","568",
"FAN","12-13","Program","569","101"
"FAN","13-14","Program","569","121"
"FAN","14-15","Program","569","87"
"FAN","15-16","Program","569","90"
"FAN","12-13","Program","47",
"FAN","13-14","Program","47",
"FAN","14-15","Program","47","35"
"FAN","15-16","Program","47","26"
"FAN","12-13","Program","570","32"
"FAN","13-14","Program","570","34"
"FAN","14-15","Program","570",
"FAN","15-16","Program","570",
"FAN","12-13","Program","571","207"
"FAN","13-14","Program","571","230"
"FAN","14-15","Program","571","262"
"FAN","15-16","Program","571","232"
"FAN","12-13","Program","425",
"FAN","13-14","Program","425",
"FAN","14-15","Program","425","0"
"FAN","15-16","Program","425","40"
"FAN","12-13","Program","572","57"
"FAN","13-14","Program","572","71"
"FAN","14-15","Program","572","57"
"FAN","15-16","Program","572","63"
"FAN","12-13","Program","50","110"
"FAN","13-14","Program","50","112"
"FAN","14-15","Program","50","106"
"FAN","15-16","Program","50","41"
"FAN","12-13","Program","51","62"
"FAN","13-14","Program","51","68"
"FAN","14-15","Program","51","54"
"FAN","15-16","Program","51","93"
"FAN","12-13","Program","193","54"
"FAN","13-14","Program","193","54"
"FAN","14-15","Program","193","58"
"FAN","15-16","Program","193","67"
"FAN","12-13","Program","53","59"
"FAN","13-14","Program","53","88"
"FAN","14-15","Program","53","83"
"FAN","15-16","Program","53","79"
"FAN","12-13","Program","54","299"
"FAN","13-14","Program","54","284"
"FAN","14-15","Program","54","256"
"FAN","15-16","Program","54","245"
"FAN","12-13","Program","57","445"
"FAN","13-14","Program","57","551"
"FAN","14-15","Program","57","575"
"FAN","15-16","Program","57","580"
"FAN","12-13","Program","58","125"
"FAN","13-14","Program","58","130"
"FAN","14-15","Program","58","151"
"FAN","15-16","Program","58","189"
"FAN","12-13","Program","59","127"
"FAN","13-14","Program","59","125"
"FAN","14-15","Program","59","155"
"FAN","15-16","Program","59","127"
"FAN","12-13","Program","156","130"
"FAN","13-14","Program","156","146"
"FAN","14-15","Program","156","138"
"FAN","15-16","Program","156","170"
"FAN","12-13","Program","573","42"
"FAN","13-14","Program","573","45"
"FAN","14-15","Program","573","75"
"FAN","15-16","Program","573","90"
"FAN","12-13","Program","574","19"
"FAN","13-14","Program","574","16"
"FAN","14-15","Program","574",
"FAN","15-16","Program","574","11"
"FAN","12-13","Program","311","19"
"FAN","13-14","Program","311",
"FAN","14-15","Program","311",
"FAN","15-16","Program","311",
"FAN","12-13","Program","575","31"
"FAN","13-14","Program","575","31"
"FAN","14-15","Program","575","27"
"FAN","15-16","Program","575","31"
"FAN","12-13","Program","576","33"
"FAN","13-14","Program","576","29"
"FAN","14-15","Program","576","29"
"FAN","15-16","Program","576","33"
"FAN","12-13","Program","512","105"
"FAN","13-14","Program","512","96"
"FAN","14-15","Program","512","94"
"FAN","15-16","Program","512","91"
"FAN","12-13","Program","577","100"
"FAN","13-14","Program","577","90"
"FAN","14-15","Program","577","94"
"FAN","15-16","Program","577","88"
"FAN","12-13","Program","578","159"
"FAN","13-14","Program","578","117"
"FAN","14-15","Program","578","111"
"FAN","15-16","Program","578","88"
"FAN","12-13","Program","579","50"
"FAN","13-14","Program","579","54"
"FAN","14-15","Program","579","51"
"FAN","15-16","Program","579","42"
"FAN","12-13","Program","580","81"
"FAN","13-14","Program","580","76"
"FAN","14-15","Program","580","59"
"FAN","15-16","Program","580","38"
"FAN","12-13","Program","66","161"
"FAN","13-14","Program","66","152"
"FAN","14-15","Program","66","143"
"FAN","15-16","Program","66","151"
"FAN","12-13","Program","581","77"
"FAN","13-14","Program","581","75"
"FAN","14-15","Program","581","68"
"FAN","15-16","Program","581","25"
"FAN","12-13","Program","582","12"
"FAN","13-14","Program","582",
"FAN","14-15","Program","582",
"FAN","15-16","Program","582","14"
"FAN","12-13","Program","71","170"
"FAN","13-14","Program","71","189"
"FAN","14-15","Program","71","183"
"FAN","15-16","Program","71","184"
"FAN","12-13","Program","73","788"
"FAN","13-14","Program","73","715"
"FAN","14-15","Program","73","584"
"FAN","15-16","Program","73","556"
"FAN","12-13","Program","583",
"FAN","13-14","Program","583","20"
"FAN","14-15","Program","583","26"
"FAN","15-16","Program","583","22"
"FAN","12-13","Program","584","90"
"FAN","13-14","Program","584","80"
"FAN","14-15","Program","584","84"
"FAN","15-16","Program","584","73"
"FAN","12-13","Program","585","38"
"FAN","13-14","Program","585","45"
"FAN","14-15","Program","585","30"
"FAN","15-16","Program","585","22"
"FAN","12-13","Program","76","272"
"FAN","13-14","Program","76","270"
"FAN","14-15","Program","76","260"
"FAN","15-16","Program","76","265"
"FAN","12-13","Program","78","25"
"FAN","13-14","Program","78","25"
"FAN","14-15","Program","78","31"
"FAN","15-16","Program","78","28"
"FAN","12-13","Program","81","74"
"FAN","13-14","Program","81","72"
"FAN","14-15","Program","81","63"
"FAN","15-16","Program","81","65"
"FAN","12-13","Program","586","63"
"FAN","13-14","Program","586","59"
"FAN","14-15","Program","586","30"
"FAN","15-16","Program","586","18"
"FAN","12-13","Program","587","156"
"FAN","13-14","Program","587","181"
"FAN","14-15","Program","587","145"
"FAN","15-16","Program","587","51"
"FAN","12-13","Program","83","59"
"FAN","13-14","Program","83","74"
"FAN","14-15","Program","83","105"
"FAN","15-16","Program","83","90"
"FAN","12-13","Program","444","142"
"FAN","13-14","Program","444","156"
"FAN","14-15","Program","444","132"
"FAN","15-16","Program","444","74"
"FAN","12-13","Program","588","27"
"FAN","13-14","Program","588","68"
"FAN","14-15","Program","588","60"
"FAN","15-16","Program","588","101"
"FAN","12-13","Program","589","211"
"FAN","13-14","Program","589","166"
"FAN","14-15","Program","589","176"
"FAN","15-16","Program","589","121"
"FAN","12-13","Program","590","14"
"FAN","13-14","Program","590","25"
"FAN","14-15","Program","590",
"FAN","15-16","Program","590","19"
"FAN","12-13","Program","591","13"
"FAN","13-14","Program","591","16"
"FAN","14-15","Program","591","13"
"FAN","15-16","Program","591","20"
"FAN","12-13","Program","87","90"
"FAN","13-14","Program","87","65"
"FAN","14-15","Program","87","82"
"FAN","15-16","Program","87","100"
"FAN","12-13","Program","592","124"
"FAN","13-14","Program","592","92"
"FAN","14-15","Program","592","66"
"FAN","15-16","Program","592","29"
"FAN","12-13","Program","88","73"
"FAN","13-14","Program","88","78"
"FAN","14-15","Program","88","39"
"FAN","15-16","Program","88","52"
"FAN","12-13","Program","593","51"
"FAN","13-14","Program","593","62"
"FAN","14-15","Program","593","60"
"FAN","15-16","Program","593","60"
"FAN","12-13","Program","449","82"
"FAN","13-14","Program","449","83"
"FAN","14-15","Program","449","79"
"FAN","15-16","Program","449","81"
"FAN","12-13","Program","594","133"
"FAN","13-14","Program","594","133"
"FAN","14-15","Program","594","124"
"FAN","15-16","Program","594","100"
"FAN","12-13","Program","595","69"
"FAN","13-14","Program","595","63"
"FAN","14-15","Program","595","88"
"FAN","15-16","Program","595","105"
"FAN","12-13","Program","92","175"
"FAN","13-14","Program","92","169"
"FAN","14-15","Program","92","188"
"FAN","15-16","Program","92","216"
"FAN","12-13","Program","596",
"FAN","13-14","Program","596",
"FAN","14-15","Program","596","16"
"FAN","15-16","Program","596","51"
"FAN","12-13","Program","94","75"
"FAN","13-14","Program","94","62"
"FAN","14-15","Program","94","85"
"FAN","15-16","Program","94","69"
"FAN","12-13","Program","96","44"
"FAN","13-14","Program","96","55"
"FAN","14-15","Program","96","48"
"FAN","15-16","Program","96","46"
"FAN","12-13","Program","99","12"
"FAN","13-14","Program","99","25"
"FAN","14-15","Program","99","50"
"FAN","15-16","Program","99","80"
"FAN","12-13","Program","165","18"
"FAN","13-14","Program","165","16"
"FAN","14-15","Program","165","27"
"FAN","15-16","Program","165","16"
"FAN","12-13","Program","597","29"
"FAN","13-14","Program","597",
"FAN","14-15","Program","597",
"FAN","15-16","Program","597",
"FAN","12-13","Program","598","14"
"FAN","13-14","Program","598",
"FAN","14-15","Program","598",
"FAN","15-16","Program","598","15"
"FAN","12-13","Program","599","42"
"FAN","13-14","Program","599","44"
"FAN","14-15","Program","599","48"
"FAN","15-16","Program","599","46"
"FAN","12-13","Program","103","156"
"FAN","13-14","Program","103","149"
"FAN","14-15","Program","103","149"
"FAN","15-16","Program","103","147"
"FAN","12-13","Program","600","11"
"FAN","13-14","Program","600","11"
"FAN","14-15","Program","600",
"FAN","15-16","Program","600","13"
"FAN","12-13","Program","601","96"
"FAN","13-14","Program","601","97"
"FAN","14-15","Program","601","97"
"FAN","15-16","Program","601","114"
"FAN","12-13","Program","602","60"
"FAN","13-14","Program","602","92"
"FAN","14-15","Program","602","72"
"FAN","15-16","Program","602","81"
"FAN","12-13","Program","603","11"
"FAN","13-14","Program","603",
"FAN","14-15","Program","603",
"FAN","15-16","Program","603",
"FAN","12-13","Program","107","217"
"FAN","13-14","Program","107","211"
"FAN","14-15","Program","107","208"
"FAN","15-16","Program","107","220"
"FAN","12-13","Program","109","84"
"FAN","13-14","Program","109","65"
"FAN","14-15","Program","109","64"
"FAN","15-16","Program","109","63"
"FAN","12-13","Program","110","25"
"FAN","13-14","Program","110","28"
"FAN","14-15","Program","110","35"
"FAN","15-16","Program","110","71"
"FAN","12-13","Program","112","168"
"FAN","13-14","Program","112","169"
"FAN","14-15","Program","112","168"
"FAN","15-16","Program","112","174"
"FAN","12-13","Program","117","40"
"FAN","13-14","Program","117","42"
"FAN","14-15","Program","117","41"
"FAN","15-16","Program","117","46"
"FAN","12-13","Program","118","90"
"FAN","13-14","Program","118","85"
"FAN","14-15","Program","118","92"
"FAN","15-16","Program","118","84"
"FAN","12-13","Program","121","104"
"FAN","13-14","Program","121","114"
"FAN","14-15","Program","121","141"
"FAN","15-16","Program","121","206"
"FAN","12-13","Program","167","69"
"FAN","13-14","Program","167","74"
"FAN","14-15","Program","167","71"
"FAN","15-16","Program","167","79"
"FAN","12-13","Program","122","223"
"FAN","13-14","Program","122","188"
"FAN","14-15","Program","122","155"
"FAN","15-16","Program","122","144"
"FAN","12-13","Program","123","537"
"FAN","13-14","Program","123","573"
"FAN","14-15","Program","123","519"
"FAN","15-16","Program","123","488"
"FAN","12-13","Program","604",
"FAN","13-14","Program","604","18"
"FAN","14-15","Program","604","73"
"FAN","15-16","Program","604","118"
"FAN","12-13","Program","125","247"
"FAN","13-14","Program","125","276"
"FAN","14-15","Program","125","279"
"FAN","15-16","Program","125","279"
"FAN","12-13","Program","605","493"
"FAN","13-14","Program","605","509"
"FAN","14-15","Program","605","551"
"FAN","15-16","Program","605","498"
"FAN","12-13","Program","394","62"
"FAN","13-14","Program","394","76"
"FAN","14-15","Program","394","81"
"FAN","15-16","Program","394","62"
"FAN","12-13","Program","606","28"
"FAN","13-14","Program","606","30"
"FAN","14-15","Program","606","30"
"FAN","15-16","Program","606","33"
"FAN","12-13","Program","129","0"
"FAN","13-14","Program","129","95"
"FAN","14-15","Program","129","67"
"FAN","15-16","Program","129","95"
"FAN","12-13","Program","132","160"
"FAN","13-14","Program","132","144"
"FAN","14-15","Program","132","133"
"FAN","15-16","Program","132","125"
"FAN","12-13","Program","607","30"
"FAN","13-14","Program","607","28"
"FAN","14-15","Program","607","22"
"FAN","15-16","Program","607","23"
"FAN","12-13","Program","133","169"
"FAN","13-14","Program","133","170"
"FAN","14-15","Program","133","174"
"FAN","15-16","Program","133","168"
"FAN","12-13","Program","608",
"FAN","13-14","Program","608",
"FAN","14-15","Program","608",
"FAN","15-16","Program","608",
"FAN","12-13","Program","609","74"
"FAN","13-14","Program","609","78"
"FAN","14-15","Program","609","93"
"FAN","15-16","Program","609","52"
"FAN","12-13","Program","136","234"
"FAN","13-14","Program","136","234"
"FAN","14-15","Program","136","252"
"FAN","15-16","Program","136","259"
"FAN","12-13","Program","610",
"FAN","13-14","Program","610","17"
"FAN","14-15","Program","610",
"FAN","15-16","Program","610",
"FAN","12-13","Program","140","46"
"FAN","13-14","Program","140","51"
"FAN","14-15","Program","140","75"
"FAN","15-16","Program","140",
"FAN","12-13","Program","611",
"FAN","13-14","Program","611",
"FAN","14-15","Program","611",
"FAN","15-16","Program","611","73"
"FAN","12-13","Program","226",
"FAN","13-14","Program","226","32"
"FAN","14-15","Program","226","37"
"FAN","15-16","Program","226","35"
"FAN","12-13","Program","141","134"
"FAN","13-14","Program","141","105"
"FAN","14-15","Program","141","98"
"FAN","15-16","Program","141","50"
"FAN","12-13","Program","612",
"FAN","13-14","Program","612",
"FAN","14-15","Program","612",
"FAN","15-16","Program","612","142"
"FAN","12-13","Program","613","24"
"FAN","13-14","Program","613","26"
"FAN","14-15","Program","613","25"
"FAN","15-16","Program","613","37"
"FAN","12-13","Program","396","36"
"FAN","13-14","Program","396","52"
"FAN","14-15","Program","396","73"
"FAN","15-16","Program","396","78"
"GEO","12-13","Program","614","43"
"GEO","13-14","Program","614","49"
"GEO","14-15","Program","614","45"
"GEO","15-16","Program","614","42"
"GEO","12-13","Program","2","25"
"GEO","13-14","Program","2","16"
"GEO","14-15","Program","2","10"
"GEO","15-16","Program","2","13"
"GEO","12-13","Program","3","102"
"GEO","13-14","Program","3","95"
"GEO","14-15","Program","3","116"
"GEO","15-16","Program","3","95"
"GEO","12-13","Program","615",
"GEO","13-14","Program","615","16"
"GEO","14-15","Program","615","23"
"GEO","15-16","Program","615",
"GEO","12-13","Program","7","44"
"GEO","13-14","Program","7","45"
"GEO","14-15","Program","7","43"
"GEO","15-16","Program","7","40"
"GEO","12-13","Program","8","96"
"GEO","13-14","Program","8","81"
"GEO","14-15","Program","8","92"
"GEO","15-16","Program","8","90"
"GEO","12-13","Program","616","61"
"GEO","13-14","Program","616","49"
"GEO","14-15","Program","616","31"
"GEO","15-16","Program","616","33"
"GEO","12-13","Program","617","133"
"GEO","13-14","Program","617","160"
"GEO","14-15","Program","617","174"
"GEO","15-16","Program","617","219"
"GEO","12-13","Program","618","145"
"GEO","13-14","Program","618","131"
"GEO","14-15","Program","618","131"
"GEO","15-16","Program","618","148"
"GEO","12-13","Program","619","81"
"GEO","13-14","Program","619","85"
"GEO","14-15","Program","619","106"
"GEO","15-16","Program","619","118"
"GEO","12-13","Program","620","65"
"GEO","13-14","Program","620","64"
"GEO","14-15","Program","620","74"
"GEO","15-16","Program","620",
"GEO","12-13","Program","621",
"GEO","13-14","Program","621",
"GEO","14-15","Program","621",
"GEO","15-16","Program","621","90"
"GEO","12-13","Program","622","212"
"GEO","13-14","Program","622","252"
"GEO","14-15","Program","622","250"
"GEO","15-16","Program","622","250"
"GEO","12-13","Program","411","10"
"GEO","13-14","Program","411","29"
"GEO","14-15","Program","411","14"
"GEO","15-16","Program","411","12"
"GEO","12-13","Program","24","191"
"GEO","13-14","Program","24","185"
"GEO","14-15","Program","24","194"
"GEO","15-16","Program","24","183"
"GEO","12-13","Program","25","119"
"GEO","13-14","Program","25","87"
"GEO","14-15","Program","25","99"
"GEO","15-16","Program","25","100"
"GEO","12-13","Program","623","42"
"GEO","13-14","Program","623",
"GEO","14-15","Program","623","63"
"GEO","15-16","Program","623","63"
"GEO","12-13","Program","27","101"
"GEO","13-14","Program","27","102"
"GEO","14-15","Program","27","108"
"GEO","15-16","Program","27","106"
"GEO","12-13","Program","623",
"GEO","13-14","Program","623","76"
"GEO","14-15","Program","623",
"GEO","15-16","Program","623",
"GEO","12-13","Program","28","161"
"GEO","13-14","Program","28","155"
"GEO","14-15","Program","28","154"
"GEO","15-16","Program","28","119"
"GEO","12-13","Program","29","131"
"GEO","13-14","Program","29","125"
"GEO","14-15","Program","29","91"
"GEO","15-16","Program","29","71"
"GEO","12-13","Program","624","22"
"GEO","13-14","Program","624",
"GEO","14-15","Program","624",
"GEO","15-16","Program","624",
"GEO","12-13","Program","31","85"
"GEO","13-14","Program","31","96"
"GEO","14-15","Program","31","120"
"GEO","15-16","Program","31","118"
"GEO","12-13","Program","33","37"
"GEO","13-14","Program","33","16"
"GEO","14-15","Program","33",
"GEO","15-16","Program","33",
"GEO","12-13","Program","286","0"
"GEO","13-14","Program","286","23"
"GEO","14-15","Program","286",
"GEO","15-16","Program","286",
"GEO","12-13","Program","186","11"
"GEO","13-14","Program","186",
