"School","Year","Level","Metric","Value","Headcount"
"GUE","12-13","G","Age","30-34",338
"GUE","12-13","U","Age","30-34",117
"GUE","13-14","G","Age","30-34",326
"GUE","13-14","U","Age","30-34",101
"GUE","14-15","G","Age","30-34",327
"GUE","14-15","U","Age","30-34",97
"GUE","15-16","G","Age","30-34",315
"GUE","15-16","U","Age","30-34",104
"GUE","12-13","G","Age","35-39",168
"GUE","12-13","U","Age","35-39",38
"GUE","13-14","G","Age","35-39",152
"GUE","13-14","U","Age","35-39",40
"GUE","14-15","G","Age","35-39",148
"GUE","14-15","U","Age","35-39",37
"GUE","15-16","G","Age","35-39",166
"GUE","15-16","U","Age","35-39",32
"GUE","12-13","G","Age","40-44",97
"GUE","12-13","U","Age","40-44",16
"GUE","13-14","G","Age","40-44",84
"GUE","13-14","U","Age","40-44",28
"GUE","14-15","G","Age","40-44",83
"GUE","14-15","U","Age","40-44",33
"GUE","15-16","G","Age","40-44",86
"GUE","15-16","U","Age","40-44",17
"GUE","12-13","G","Age","45-49",93
"GUE","12-13","U","Age","45-49",12
"GUE","13-14","G","Age","45-49",87
"GUE","14-15","G","Age","45-49",65
"GUE","14-15","U","Age","45-49",10
"GUE","15-16","G","Age","45-49",71
"GUE","15-16","U","Age","45-49",12
"GUE","12-13","G","Age","50-54",45
"GUE","13-14","G","Age","50-54",54
"GUE","14-15","G","Age","50-54",48
"GUE","15-16","G","Age","50-54",36
"GUE","12-13","G","Age","55-59",15
"GUE","13-14","G","Age","55-59",18
"GUE","14-15","G","Age","55-59",12
"GUE","15-16","G","Age","55-59",14
"GUE","13-14","G","Age","60+",10
"HEA","12-13","U","Age","18-19",23
"HEA","13-14","U","Age","18-19",36
"HEA","14-15","U","Age","18-19",36
"HEA","15-16","U","Age","18-19",37
"HEA","12-13","U","Age","20-24",37
"HEA","13-14","U","Age","20-24",21
"HEA","14-15","U","Age","20-24",27
"HEA","15-16","U","Age","20-24",52
"LAK","12-13","U","Age","0-17",12
"LAK","14-15","U","Age","0-17",15
"LAK","15-16","U","Age","0-17",11
"LAK","12-13","U","Age","18-19",1695
"LAK","13-14","U","Age","18-19",1816
"LAK","14-15","U","Age","18-19",1731
"LAK","15-16","U","Age","18-19",1515
"LAK","12-13","G","Age","20-24",190
"LAK","12-13","U","Age","20-24",3423
"LAK","13-14","G","Age","20-24",222
"LAK","13-14","U","Age","20-24",3313
"LAK","14-15","G","Age","20-24",204
"LAK","14-15","U","Age","20-24",3348
"LAK","15-16","G","Age","20-24",249
"LAK","15-16","U","Age","20-24",3226
"LAK","12-13","G","Age","25-29",256
"LAK","12-13","U","Age","25-29",740
"LAK","13-14","G","Age","25-29",272
"LAK","13-14","U","Age","25-29",723
"LAK","14-15","G","Age","25-29",311
"LAK","14-15","U","Age","25-29",733
"LAK","15-16","G","Age","25-29",332
"LAK","15-16","U","Age","25-29",650
"LAK","12-13","G","Age","30-34",125
"LAK","12-13","U","Age","30-34",219
"LAK","13-14","G","Age","30-34",115
"LAK","13-14","U","Age","30-34",223
"LAK","14-15","G","Age","30-34",107
"LAK","14-15","U","Age","30-34",217
"LAK","15-16","G","Age","30-34",138
"LAK","15-16","U","Age","30-34",172
"LAK","12-13","G","Age","35-39",61
"LAK","12-13","U","Age","35-39",122
"LAK","13-14","G","Age","35-39",71
"LAK","13-14","U","Age","35-39",113
"LAK","14-15","G","Age","35-39",71
"LAK","14-15","U","Age","35-39",82
"LAK","15-16","G","Age","35-39",63
"LAK","15-16","U","Age","35-39",74
"LAK","12-13","G","Age","40-44",54
"LAK","12-13","U","Age","40-44",77
"LAK","13-14","G","Age","40-44",54
"LAK","13-14","U","Age","40-44",62
"LAK","14-15","G","Age","40-44",45
"LAK","14-15","U","Age","40-44",61
"LAK","15-16","G","Age","40-44",44
"LAK","15-16","U","Age","40-44",44
"LAK","12-13","G","Age","45-49",38
"LAK","12-13","U","Age","45-49",28
"LAK","13-14","G","Age","45-49",38
"LAK","13-14","U","Age","45-49",25
"LAK","14-15","G","Age","45-49",28
"LAK","14-15","U","Age","45-49",23
"LAK","15-16","G","Age","45-49",32
"LAK","15-16","U","Age","45-49",19
"LAK","12-13","G","Age","50-54",17
"LAK","12-13","U","Age","50-54",19
"LAK","13-14","G","Age","50-54",19
"LAK","13-14","U","Age","50-54",15
"LAK","14-15","G","Age","50-54",21
