"Year","University","Metric","Schedule","Count"
2013,"WBC","Women","PT",28
2013,"WHC","Women","FT",15
2013,"WKC","Women","FT",46
2013,"WKC","Women","PT",46
2013,"WLA","Women","FT",235
2013,"WIN","Women","FT",177
2013,"YOR","Women","FT",684
2012,"OCA","Women","FT",50
2012,"OCA","Women","PT",50
2012,"TAC","Women","FT",897
2012,"TAC","Women","PT",897
2012,"WLA","Women","FT",230
2012,"YOR","Women","FT",682
2011,"CAR","Women","FT",295
2011,"OCA","Women","FT",41
2011,"OCA","Women","PT",41
2011,"TAC","Women","FT",903
2011,"TAC","Women","PT",903
2011,"TRE","Women","FT",100
2011,"YOR","Women","FT",669
2010,"BRO","Women","FT",245
2010,"CAR","Women","FT",295
2010,"GUE","Women","FT",259
2010,"LAK","Women","FT",108
2010,"LAU","Women","FT",165
2010,"MCM","Women","FT",317
2010,"NIP","Women","FT",73
2010,"OCA","Women","FT",43
2010,"OCA","Women","PT",43
2010,"OTT","Women","FT",468
2010,"UOI","Women","FT",97
2010,"QUE","Women","FT",298
2010,"RYE","Women","FT",336
2010,"TAC","Women","FT",902
2010,"TAC","Women","PT",902
2010,"TRE","Women","FT",101
2010,"WAT","Women","FT",255
2010,"WAT","Women","PT",255
2010,"WMC","Women","FT",418
2010,"WBC","Women","FT",27
2010,"WBC","Women","PT",27
2010,"WHC","Women","FT",11
2010,"WHC","Women","PT",11
2010,"WKC","Women","FT",35
2010,"WKC","Women","PT",35
2010,"WLA","Women","FT",220
2010,"WIN","Women","FT",195
2010,"YOR","Women","FT",665
2009,"BRO","Women","FT",245
2009,"CAR","Women","FT",289
2009,"GUE","Women","FT",256
2009,"LAK","Women","FT",107
2009,"LAU","Women","FT",165
2009,"MCM","Women","FT",315
2009,"NIP","Women","FT",73
2009,"OCA","Women","FT",45
2009,"OTT","Women","FT",471
2009,"UOI","Women","FT",97
2009,"QUE","Women","FT",290
2009,"RYE","Women","FT",328
2009,"TAC","Women","FT",886
2009,"TAC","Women","PT",886
2009,"TRE","Women","FT",96
2009,"WAT","Women","FT",251
2009,"WAT","Women","PT",251
2009,"WMC","Women","FT",412
2009,"WBC","Women","FT",24
2009,"WBC","Women","PT",24
2009,"WHC","Women","FT",18
2009,"WHC","Women","PT",18
2009,"WIN","Women","FT",192
2009,"YOR","Women","FT",663
2008,"MCM","Women","FT",303
2008,"WAT","Women","FT",247
2007,"MCM","Women","FT",293
2007,"WAT","Women","FT",236
2006,"MCM","Women","FT",278
2006,"WAT","Women","FT",218
2005,"MCM","Women","FT",271
2015,"BRO","PhDs","FT",556
2015,"CAR","PhDs","FT",854
2015,"LAK","PhDs","FT",295
2015,"LAU","PhDs","FT",333
2015,"MCM","PhDs","FT",840
2015,"NIP","PhDs","FT",156
2015,"OCA","PhDs","FT",39
2015,"OTT","PhDs","FT",1111
2015,"OSP","PhDs","FT",61
2015,"UOI","PhDs","FT",225
2015,"QUE","PhDs","FT",749
2015,"RYE","PhDs","FT",848
2015,"TAC","PhDs","FT",2312
2015,"TRE","PhDs","FT",231
2015,"WAT","PhDs","FT",1104
2015,"WMC","PhDs","FT",1230
2015,"WBC","PhDs","FT",36
2015,"WBC","PhDs","PT",36
2015,"WHC","PhDs","FT",45
2015,"WKC","PhDs","FT",93
2015,"WLA","PhDs","FT",542
2015,"WIN","PhDs","FT",439
2015,"YOR","PhDs","FT",1391
2014,"BRO","PhDs","FT",560
2014,"CAR","PhDs","FT",840
2014,"GUE","PhDs","FT",746
2014,"LAK","PhDs","FT",294
2014,"LAU","PhDs","FT",331
2014,"MCM","PhDs","FT",870
2014,"NIP","PhDs","FT",188
2014,"OCA","PhDs","FT",23
2014,"OTT","PhDs","FT",1413
2014,"OSP","PhDs","FT",57
2014,"UOI","PhDs","FT",227
2014,"QUE","PhDs","FT",750
2014,"RYE","PhDs","FT",851
2014,"TAC","PhDs","FT",2269
2014,"TRE","PhDs","FT",220
2014,"WAT","PhDs","FT",1071
2014,"WMC","PhDs","FT",1257
2014,"WBC","PhDs","FT",35
2014,"WBC","PhDs","PT",35
2014,"WHC","PhDs","FT",42
2014,"WHC","PhDs","PT",42
2014,"WKC","PhDs","FT",93
2014,"WKC","PhDs","PT",93
2014,"WLA","PhDs","FT",547
2014,"WIN","PhDs","FT",437
2014,"YOR","PhDs","FT",1468
2013,"BRO","PhDs","FT",562
2013,"CAR","PhDs","FT",830
2013,"GUE","PhDs","FT",741
2013,"LAU","PhDs","FT",340
2013,"MCM","PhDs","FT",872
2013,"NIP","PhDs","FT",185
2013,"OCA","PhDs","FT",23
2013,"OTT","PhDs","FT",1133
2013,"OSP","PhDs","FT",57
2013,"UOI","PhDs","FT",210
2013,"QUE","PhDs","FT",748
2013,"RYE","PhDs","FT",838
2013,"TAC","PhDs","FT",2235
2013,"TAC","PhDs","PT",2235
2013,"TRE","PhDs","FT",216
2013,"WAT","PhDs","FT",1042
2013,"WMC","PhDs","FT",1260
2013,"WBC","PhDs","FT",35
2013,"WBC","PhDs","PT",35
2013,"WHC","PhDs","FT",44
2013,"WKC","PhDs","FT",89
2013,"WKC","PhDs","PT",89
2013,"WLA","PhDs","FT",542
2013,"WIN","PhDs","FT",435
2013,"YOR","PhDs","FT",1404
2012,"OCA","PhDs","FT",27
2012,"TAC","PhDs","FT",2177
2012,"TAC","PhDs","PT",2177
2012,"WLA","PhDs","FT",509
2012,"YOR","PhDs","FT",1454
2011,"CAR","PhDs","FT",809
2011,"OCA","PhDs","FT",25
2011,"TAC","PhDs","FT",2227
2011,"TAC","PhDs","PT",2227
2011,"TRE","PhDs","FT",214
2011,"YOR","PhDs","FT",1414
2010,"BRO","PhDs","FT",544
2010,"CAR","PhDs","FT",809
2010,"GUE","PhDs","FT",786
2010,"LAK","PhDs","FT",284
2010,"LAU","PhDs","FT",363
2010,"MCM","PhDs","FT",825
2010,"NIP","PhDs","FT",150
2010,"OCA","PhDs","FT",15
2010,"OTT","PhDs","FT",1147
2010,"UOI","PhDs","FT",179
2010,"QUE","PhDs","FT",813
2010,"RYE","PhDs","FT",666
2010,"TAC","PhDs","FT",2195
2010,"TAC","PhDs","PT",2195
2010,"TRE","PhDs","FT",230
2010,"WAT","PhDs","FT",1003
2010,"WMC","PhDs","FT",1164
2010,"WBC","PhDs","FT",34
2010,"WBC","PhDs","PT",34
2010,"WHC","PhDs","FT",35
2010,"WHC","PhDs","PT",35
2010,"WKC","PhDs","FT",85
2010,"WKC","PhDs","PT",85
2010,"WLA","PhDs","FT",477
2010,"WIN","PhDs","FT",451
2010,"YOR","PhDs","FT",1374
2009,"BRO","PhDs","FT",547
2009,"CAR","PhDs","FT",778
2009,"GUE","PhDs","FT",785
2009,"LAK","PhDs","FT",274
2009,"LAU","PhDs","FT",363
2009,"MCM","PhDs","FT",833
2009,"NIP","PhDs","FT",139
2009,"OCA","PhDs","FT",15
2009,"OTT","PhDs","FT",1130
2009,"UOI","PhDs","FT",174
2009,"UOI","PhDs","PT",174
2009,"QUE","PhDs","FT",814
2009,"RYE","PhDs","FT",651
2009,"TAC","PhDs","FT",2171
2009,"TAC","PhDs","PT",2171
2009,"TRE","PhDs","FT",238
2009,"WAT","PhDs","FT",928
2009,"WMC","PhDs","FT",1177
2009,"WBC","PhDs","FT",32
2009,"WBC","PhDs","PT",32
2009,"WHC","PhDs","FT",46
2009,"WHC","PhDs","PT",46
2009,"WIN","PhDs","FT",454
2009,"YOR","PhDs","FT",1364
2008,"MCM","PhDs","FT",806
2008,"WAT","PhDs","FT",916
2007,"MCM","PhDs","FT",821
2007,"WAT","PhDs","FT",882
2006,"MCM","PhDs","FT",770
2006,"WAT","PhDs","FT",855
2005,"MCM","PhDs","FT",743
2015,"BRO","Total","FT",583
2015,"CAR","Total","FT",885
2015,"LAK","Total","FT",318
2015,"LAU","Total","FT",407
2015,"MCM","Total","FT",900
2015,"NIP","Total","FT",177
2015,"OCA","Total","FT",158
2015,"OTT","Total","FT",1220
2015,"OSP","Total","FT",61
2015,"UOI","Total","FT",274
2015,"QUE","Total","FT",770
2015,"RYE","Total","FT",1035
2015,"TAC","Total","FT",2532
2015,"TRE","Total","FT",238
2015,"WAT","Total","FT",1239
2015,"WMC","Total","FT",1298
2015,"WBC","Total","FT",38
2015,"WBC","Total","PT",38
2015,"WHC","Total","FT",47
2015,"WKC","Total","FT",99
2015,"WLA","Total","FT",578
2015,"WIN","Total","FT",480
2015,"YOR","Total","FT",1548
2014,"BRO","Total","FT",594
2014,"CAR","Total","FT",875
2014,"GUE","Total","FT",756
2014,"LAK","Total","FT",318
2014,"LAU","Total","FT",403
2014,"MCM","Total","FT",938
2014,"NIP","Total","FT",198
2014,"OCA","Total","FT",118
2014,"OTT","Total","FT",1458
2014,"OSP","Total","FT",57
2014,"UOI","Total","FT",278
2014,"QUE","Total","FT",773
2014,"RYE","Total","FT",1026
2014,"TAC","Total","FT",2491
2014,"TRE","Total","FT",226
2014,"WAT","Total","FT",1201
2014,"WMC","Total","FT",1290
2014,"WBC","Total","FT",37
2014,"WBC","Total","PT",37
2014,"WHC","Total","FT",44
2014,"WHC","Total","PT",44
2014,"WKC","Total","FT",100
2014,"WKC","Total","PT",100
2014,"WLA","Total","FT",574
2014,"WIN","Total","FT",475
2014,"YOR","Total","FT",1523
2013,"BRO","Total","FT",597
2013,"CAR","Total","FT",877
2013,"GUE","Total","FT",753
2013,"LAK","Total","FT",334
2013,"LAU","Total","FT",408
2013,"MCM","Total","FT",944
2013,"NIP","Total","FT",192
2013,"OCA","Total","FT",99
2013,"OTT","Total","FT",1238
2013,"OSP","Total","FT",57
2013,"UOI","Total","FT",266
2013,"QUE","Total","FT",768
2013,"RYE","Total","FT",1009
2013,"TAC","Total","FT",2455
2013,"TAC","Total","PT",2455
2013,"TRE","Total","FT",223
2013,"WAT","Total","FT",1168
2013,"WMC","Total","FT",1302
2013,"WBC","Total","FT",37
2013,"WBC","Total","PT",37
2013,"WHC","Total","FT",47
2013,"WKC","Total","FT",99
2013,"WKC","Total","PT",99
2013,"WLA","Total","FT",571
2013,"WIN","Total","FT",479
2013,"YOR","Total","FT",1498
2012,"OCA","Total","FT",115
2012,"OCA","Total","PT",115
2012,"TAC","Total","FT",2390
2012,"TAC","Total","PT",2390
2012,"WLA","Total","FT",553
2012,"WLA","Total","PT",553
2012,"YOR","Total","FT",1480
2012,"YOR","Total","PT",1480
2011,"CAR","Total","FT",851
2011,"CAR","Total","PT",851
2011,"OCA","Total","FT",102
2011,"OCA","Total","PT",102
2011,"TAC","Total","FT",2449
2011,"TAC","Total","PT",2449
2011,"TRE","Total","FT",233
2011,"TRE","Total","PT",233
2011,"YOR","Total","FT",1475
2011,"YOR","Total","PT",1475
2010,"BRO","Total","FT",583
2010,"BRO","Total","PT",583
2010,"CAR","Total","FT",851
2010,"CAR","Total","PT",851
2010,"GUE","Total","FT",794
2010,"LAK","Total","FT",319
2010,"LAK","Total","PT",319
2010,"LAU","Total","FT",420
2010,"LAU","Total","PT",420
2010,"MCM","Total","FT",921
2010,"NIP","Total","FT",181
2010,"NIP","Total","PT",181
2010,"OCA","Total","FT",102
2010,"OCA","Total","PT",102
2010,"OTT","Total","FT",1276
2010,"OTT","Total","PT",1276
2010,"UOI","Total","FT",212
2010,"UOI","Total","PT",212
2010,"QUE","Total","FT",834
2010,"RYE","Total","FT",778
2010,"RYE","Total","PT",778
2010,"TAC","Total","FT",2427
2010,"TAC","Total","PT",2427
2010,"TRE","Total","FT",237
2010,"TRE","Total","PT",237
2010,"WAT","Total","FT",1023
2010,"WAT","Total","PT",1023
2010,"WMC","Total","FT",1273
2010,"WBC","Total","FT",38
2010,"WBC","Total","PT",38
2010,"WHC","Total","FT",35
2010,"WHC","Total","PT",35
2010,"WKC","Total","FT",91
2010,"WKC","Total","PT",91
2010,"WLA","Total","FT",531
2010,"WLA","Total","PT",531
2010,"WIN","Total","FT",523
2010,"WIN","Total","PT",523
2010,"YOR","Total","FT",1466
2010,"YOR","Total","PT",1466
2009,"BRO","Total","FT",578
2009,"BRO","Total","PT",578
2009,"CAR","Total","FT",822
2009,"CAR","Total","PT",822
2009,"GUE","Total","FT",794
2009,"LAK","Total","FT",315
2009,"LAK","Total","PT",315
2009,"LAU","Total","FT",420
2009,"LAU","Total","PT",420
2009,"MCM","Total","FT",918
2009,"NIP","Total","FT",174
2009,"NIP","Total","PT",174
2009,"OCA","Total","FT",108
2009,"OCA","Total","PT",108
2009,"OTT","Total","FT",1263
