"Program","Year","Confirmed","Choice","Count"
"ODE","15-16","Y",1,1203
"ODE","15-16","Y",2,288
"ODE","15-16","Y",3,130
"ODE","15-16","Y",4,130
"ODE","16-17","Y",1,1218
"ODE","16-17","Y",2,323
"ODE","16-17","Y",3,141
"ODE","16-17","Y",4,141
"PHE","07-08","Y",1,1854
"PHE","07-08","Y",2,594
"PHE","07-08","Y",3,357
"PHE","07-08","Y",4,357
"PHE","08-09","Y",1,1722
"PHE","08-09","Y",2,582
"PHE","08-09","Y",3,337
"PHE","08-09","Y",4,337
"PHE","09-10","Y",1,1883
"PHE","09-10","Y",2,604
"PHE","09-10","Y",3,399
"PHE","09-10","Y",4,399
"PHE","10-11","Y",1,2069
"PHE","10-11","Y",2,684
"PHE","10-11","Y",3,398
"PHE","10-11","Y",4,398
"PHE","11-12","Y",1,2131
"PHE","11-12","Y",2,728
"PHE","11-12","Y",3,451
"PHE","11-12","Y",4,451
"PHE","12-13","Y",1,2115
"PHE","12-13","Y",2,722
"PHE","12-13","Y",3,430
"PHE","12-13","Y",4,430
"PHE","13-14","Y",1,2114
"PHE","13-14","Y",2,789
"PHE","13-14","Y",3,436
"PHE","13-14","Y",4,436
"PHE","14-15","Y",1,2161
"PHE","14-15","Y",2,707
"PHE","14-15","Y",3,457
"PHE","14-15","Y",4,457
"PHE","15-16","Y",1,2432
"PHE","15-16","Y",2,775
"PHE","15-16","Y",3,498
"PHE","15-16","Y",4,498
"PHE","16-17","Y",1,2439
"PHE","16-17","Y",2,884
"PHE","16-17","Y",3,521
"PHE","16-17","Y",4,521
"PYP","07-08","Y",1,7
"PYP","07-08","Y",2,1
"PYP","07-08","Y",3,1
"PYP","07-08","Y",4,1
"PYP","08-09","Y",1,5
"PYP","08-09","Y",2,1
"PYP","08-09","Y",3,0
"PYP","08-09","Y",4,0
"PYP","09-10","Y",1,3
"PYP","09-10","Y",2,0
"PYP","09-10","Y",3,3
"PYP","09-10","Y",4,3
"PYP","10-11","Y",1,2
"PYP","10-11","Y",2,1
"PYP","10-11","Y",3,0
"PYP","10-11","Y",4,0
"PYP","11-12","Y",1,4
"PYP","11-12","Y",2,1
"PYP","11-12","Y",3,0
"PYP","11-12","Y",4,0
"PYP","12-13","Y",1,2
"PYP","12-13","Y",2,0
"PYP","12-13","Y",3,1
"PYP","12-13","Y",4,1
"PYP","13-14","Y",1,5
"PYP","13-14","Y",2,0
"PYP","13-14","Y",3,0
"PYP","13-14","Y",4,0
"PYP","14-15","Y",1,5
"PYP","14-15","Y",2,1
"PYP","14-15","Y",3,0
"PYP","14-15","Y",4,0
"PYP","15-16","Y",1,6
"PYP","15-16","Y",2,0
"PYP","15-16","Y",3,1
"PYP","15-16","Y",4,1
"PYP","16-17","Y",1,3
"PYP","16-17","Y",2,0
"PYP","16-17","Y",3,1
"PYP","16-17","Y",4,1
"RME","07-08","Y",1,0
"RME","07-08","Y",2,0
"RME","07-08","Y",3,0
"RME","07-08","Y",4,0
"RME","08-09","Y",1,0
"RME","08-09","Y",2,0
"RME","08-09","Y",3,0
"RME","08-09","Y",4,0
"RME","09-10","Y",1,0
"RME","09-10","Y",2,0
"RME","09-10","Y",3,0
"RME","09-10","Y",4,0
"RME","10-11","Y",1,0
"RME","10-11","Y",2,0
"RME","10-11","Y",3,0
"RME","10-11","Y",4,0
"RME","11-12","Y",1,0
"RME","11-12","Y",2,0
"RME","11-12","Y",3,0
"RME","11-12","Y",4,0
"RME","12-13","Y",1,0
"RME","12-13","Y",2,0
"RME","12-13","Y",3,0
"RME","12-13","Y",4,0
"RME","13-14","Y",1,0
"RME","13-14","Y",2,0
"RME","13-14","Y",3,0
"RME","13-14","Y",4,0
"RME","14-15","Y",1,0
"RME","14-15","Y",2,0
"RME","14-15","Y",3,0
"RME","14-15","Y",4,0
"RME","15-16","Y",1,0
"RME","15-16","Y",2,0
"RME","15-16","Y",3,0
"RME","15-16","Y",4,0
"RME","16-17","Y",1,0
"RME","16-17","Y",2,0
"RME","16-17","Y",3,0
"RME","16-17","Y",4,0
"SCI","07-08","Y",1,8831
"SCI","07-08","Y",2,3142
"SCI","07-08","Y",3,1807
"SCI","07-08","Y",4,1807
"SCI","08-09","Y",1,8966
"SCI","08-09","Y",2,3273
"SCI","08-09","Y",3,1873
"SCI","08-09","Y",4,1873
"SCI","09-10","Y",1,8738
"SCI","09-10","Y",2,3403
"SCI","09-10","Y",3,1886
"SCI","09-10","Y",4,1886
"SCI","10-11","Y",1,9567
"SCI","10-11","Y",2,3590
"SCI","10-11","Y",3,2171
"SCI","10-11","Y",4,2171
"SCI","11-12","Y",1,9940
"SCI","11-12","Y",2,3918
"SCI","11-12","Y",3,2319
"SCI","11-12","Y",4,2319
"SCI","12-13","Y",1,10417
"SCI","12-13","Y",2,4291
"SCI","12-13","Y",3,2449
"SCI","12-13","Y",4,2449
"SCI","13-14","Y",1,10743
"SCI","13-14","Y",2,4353
"SCI","13-14","Y",3,2639
"SCI","13-14","Y",4,2639
"SCI","14-15","Y",1,10988
"SCI","14-15","Y",2,4665
"SCI","14-15","Y",3,2769
"SCI","14-15","Y",4,2769
"SCI","15-16","Y",1,11709
"SCI","15-16","Y",2,5033
"SCI","15-16","Y",3,3011
"SCI","15-16","Y",4,3011
"SCI","16-17","Y",1,11683
"SCI","16-17","Y",2,5010
"SCI","16-17","Y",3,3035
"SCI","16-17","Y",4,3035
"SWO","07-08","Y",1,611
"SWO","07-08","Y",2,161
"SWO","07-08","Y",3,88
"SWO","07-08","Y",4,88
"SWO","08-09","Y",1,607
"SWO","08-09","Y",2,141
"SWO","08-09","Y",3,77
"SWO","08-09","Y",4,77
"SWO","09-10","Y",1,642
"SWO","09-10","Y",2,198
"SWO","09-10","Y",3,88
"SWO","09-10","Y",4,88
"SWO","10-11","Y",1,729
"SWO","10-11","Y",2,187
"SWO","10-11","Y",3,96
"SWO","10-11","Y",4,96
"SWO","11-12","Y",1,810
"SWO","11-12","Y",2,201
"SWO","11-12","Y",3,120
"SWO","11-12","Y",4,120
"SWO","12-13","Y",1,792
"SWO","12-13","Y",2,225
"SWO","12-13","Y",3,117
"SWO","12-13","Y",4,117
"SWO","13-14","Y",1,870
"SWO","13-14","Y",2,252
"SWO","13-14","Y",3,136
"SWO","13-14","Y",4,136
"SWO","14-15","Y",1,892
"SWO","14-15","Y",2,250
"SWO","14-15","Y",3,145
"SWO","14-15","Y",4,145
"SWO","15-16","Y",1,1018
"SWO","15-16","Y",2,289
"SWO","15-16","Y",3,126
"SWO","15-16","Y",4,126
"SWO","16-17","Y",1,932
"SWO","16-17","Y",2,248
"SWO","16-17","Y",3,100
"SWO","16-17","Y",4,100
"VME","07-08","Y",1,2
"VME","07-08","Y",2,0
"VME","07-08","Y",3,0
"VME","07-08","Y",4,0
"VME","08-09","Y",1,21
"VME","08-09","Y",2,0
"VME","08-09","Y",3,0
"VME","08-09","Y",4,0
"VME","09-10","Y",1,25
"VME","09-10","Y",2,0
"VME","09-10","Y",3,0
"VME","09-10","Y",4,0
"VME","10-11","Y",1,1
"VME","10-11","Y",2,0
"VME","10-11","Y",3,0
"VME","10-11","Y",4,0
"VME","11-12","Y",1,1
"VME","11-12","Y",2,0
"VME","11-12","Y",3,0
"VME","11-12","Y",4,0
"VME","12-13","Y",1,1
"VME","12-13","Y",2,0
"VME","12-13","Y",3,0
"VME","12-13","Y",4,0
"VME","13-14","Y",1,2
"VME","13-14","Y",2,0
"VME","13-14","Y",3,0
"VME","13-14","Y",4,0
"VME","14-15","Y",1,1
"VME","14-15","Y",2,0
"VME","14-15","Y",3,0
"VME","14-15","Y",4,0
"VME","15-16","Y",1,3
"VME","15-16","Y",2,1
"VME","15-16","Y",3,0
"VME","15-16","Y",4,0
"VME","16-17","Y",1,3
"VME","16-17","Y",2,0
"VME","16-17","Y",3,0
"VME","16-17","Y",4,0
