"AcademicYear","University","Question","StudentYear","Score","Percentage"
2006,"WLA","Q1","Jr","S1",.101
2006,"WLA","Q1","Jr","S0",.01
2006,"WIN","Q1","Jr","S3",.16
2006,"WIN","Q1","Jr","S2",.55
2006,"WIN","Q1","Jr","S1",.24
2006,"WIN","Q1","Jr","S0",.05
2006,"YOR","Q1","Jr","S3",.202
2006,"YOR","Q1","Jr","S2",.552
2006,"YOR","Q1","Jr","S1",.18
2006,"YOR","Q1","Jr","S0",.066
2014,"BRO","Q1","Sr","S3",.31
2014,"BRO","Q1","Sr","S2",.53
2014,"BRO","Q1","Sr","S1",.13
2014,"BRO","Q1","Sr","S0",.03
2014,"CAR","Q1","Sr","S3",.325
2014,"CAR","Q1","Sr","S2",.503
2014,"CAR","Q1","Sr","S1",.14
2014,"CAR","Q1","Sr","S0",.032
2014,"GUE","Q1","Sr","S3",.506
2014,"GUE","Q1","Sr","S2",.414
2014,"GUE","Q1","Sr","S1",.063
2014,"GUE","Q1","Sr","S0",.018
2014,"LAK","Q1","Sr","S3",.19
2014,"LAK","Q1","Sr","S2",.5
2014,"LAK","Q1","Sr","S1",.26
2014,"LAK","Q1","Sr","S0",.05
2014,"LAU","Q1","Sr","S3",.21
2014,"LAU","Q1","Sr","S2",.529
2014,"LAU","Q1","Sr","S1",.21
2014,"LAU","Q1","Sr","S0",.051
2014,"MCM","Q1","Sr","S3",.38
2014,"MCM","Q1","Sr","S2",.48
2014,"MCM","Q1","Sr","S1",.12
2014,"MCM","Q1","Sr","S0",.02
2014,"NIP","Q1","Sr","S3",.38
2014,"NIP","Q1","Sr","S2",.48
2014,"NIP","Q1","Sr","S1",.12
2014,"NIP","Q1","Sr","S0",.02
2014,"OCA","Q1","Sr","S3",.2
2014,"OCA","Q1","Sr","S2",.5
2014,"OCA","Q1","Sr","S1",.24
2014,"OCA","Q1","Sr","S0",.06
2014,"OTT","Q1","Sr","S3",.169
2014,"OTT","Q1","Sr","S2",.569
2014,"OTT","Q1","Sr","S1",.213
2014,"OTT","Q1","Sr","S0",.049
2014,"OSP","Q1","Sr","S3",.41
2014,"OSP","Q1","Sr","S2",.54
2014,"OSP","Q1","Sr","S1",.04
2014,"UOI","Q1","Sr","S3",.235
2014,"UOI","Q1","Sr","S2",.499
2014,"UOI","Q1","Sr","S1",.204
2014,"UOI","Q1","Sr","S0",.063
2014,"QUE","Q1","Sr","S3",.508
2014,"QUE","Q1","Sr","S2",.395
2014,"QUE","Q1","Sr","S1",.079
2014,"QUE","Q1","Sr","S0",.019
2014,"RYE","Q1","Sr","S3",.21
2014,"RYE","Q1","Sr","S2",.54
2014,"RYE","Q1","Sr","S1",.2
2014,"RYE","Q1","Sr","S0",.05
2014,"TAC","Q1","Sr","S3",.252
2014,"TAC","Q1","Sr","S2",.477
2014,"TAC","Q1","Sr","S1",.216
2014,"TAC","Q1","Sr","S0",.055
2014,"TSG","Q1","Sr","S3",.271
2014,"TSG","Q1","Sr","S2",.468
2014,"TSG","Q1","Sr","S1",.204
2014,"TSG","Q1","Sr","S0",.057
2014,"TMI","Q1","Sr","S3",.234
2014,"TMI","Q1","Sr","S2",.456
2014,"TMI","Q1","Sr","S1",.254
2014,"TMI","Q1","Sr","S0",.056
2014,"TSC","Q1","Sr","S3",.188
2014,"TSC","Q1","Sr","S2",.52
2014,"TSC","Q1","Sr","S1",.239
2014,"TSC","Q1","Sr","S0",.054
2014,"TRE","Q1","Sr","S3",.384
2014,"TRE","Q1","Sr","S2",.502
2014,"TRE","Q1","Sr","S1",.11
2014,"TRE","Q1","Sr","S0",.004
2014,"WAT","Q1","Sr","S3",.302
2014,"WAT","Q1","Sr","S2",.491
2014,"WAT","Q1","Sr","S1",.165
2014,"WAT","Q1","Sr","S0",.041
2014,"WMC","Q1","Sr","S3",.41
2014,"WMC","Q1","Sr","S2",.47
2014,"WMC","Q1","Sr","S1",.11
2014,"WMC","Q1","Sr","S0",.02
2014,"WBC","Q1","Sr","S3",.49
2014,"WBC","Q1","Sr","S2",.39
2014,"WBC","Q1","Sr","S1",.11
2014,"WBC","Q1","Sr","S0",.01
2014,"WKC","Q1","Sr","S3",.42
2014,"WKC","Q1","Sr","S2",.51
2014,"WKC","Q1","Sr","S1",.06
2014,"WKC","Q1","Sr","S0",.01
2014,"WLA","Q1","Sr","S3",.35
2014,"WLA","Q1","Sr","S2",.51
2014,"WLA","Q1","Sr","S1",.12
2014,"WLA","Q1","Sr","S0",.02
2014,"WIN","Q1","Sr","S3",.171
2014,"WIN","Q1","Sr","S2",.554
2014,"WIN","Q1","Sr","S1",.225
2014,"WIN","Q1","Sr","S0",.05
2014,"YOR","Q1","Sr","S3",.209
