"Year","University","Subject","Metric","OSSD","Count"
2008,"BCW","PHE","AA","N",13
2008,"BCW","PHE","RA","Y",2
2008,"BCW","PHE","RA","N",2
2008,"BCW","HSC","A1","Y",55
2008,"BCW","HSC","A1","N",52
2008,"BCW","HSC","R1","Y",37
2008,"BCW","HSC","R1","N",15
2008,"BCW","HSC","AA","Y",232
2008,"BCW","HSC","AA","N",110
2008,"BCW","HSC","RA","Y",56
2008,"BCW","HSC","RA","N",18
2008,"BCW","ODE","A1","Y",19
2008,"BCW","ODE","A1","N",6
2008,"BCW","ODE","R1","Y",2
2008,"BCW","ODE","AA","Y",102
2008,"BCW","ODE","AA","N",19
2008,"BCW","ODE","RA","Y",4
2008,"BCW","ODE","RA","N",1
2008,"BCW","PYE","A1","Y",4
2008,"BCW","PYE","A1","N",1
2008,"BCW","PYE","AA","Y",12
2008,"BCW","PYE","AA","N",4
2007,"BCW","AHS","A1","Y",80
2007,"BCW","AHS","A1","N",48
2007,"BCW","AHS","R1","Y",66
2007,"BCW","AHS","R1","N",36
2007,"BCW","AHS","AA","Y",416
2007,"BCW","AHS","AA","N",155
2007,"BCW","AHS","RA","Y",91
2007,"BCW","AHS","RA","N",44
2007,"BCW","CMB","A1","Y",8
2007,"BCW","CMB","A1","N",10
2007,"BCW","CMB","R1","Y",7
2007,"BCW","CMB","R1","N",4
2007,"BCW","CMB","AA","Y",84
2007,"BCW","CMB","AA","N",30
2007,"BCW","CMB","RA","Y",8
2007,"BCW","CMB","RA","N",5
2007,"BCW","PHE","A1","Y",11
2007,"BCW","PHE","R1","Y",5
2007,"BCW","PHE","R1","N",1
2007,"BCW","PHE","AA","Y",99
2007,"BCW","PHE","AA","N",16
2007,"BCW","PHE","RA","Y",5
2007,"BCW","PHE","RA","N",1
2007,"BCW","HSC","A1","Y",47
2007,"BCW","HSC","A1","N",30
2007,"BCW","HSC","R1","Y",32
2007,"BCW","HSC","R1","N",17
2007,"BCW","HSC","AA","Y",188
2007,"BCW","HSC","AA","N",72
2007,"BCW","HSC","RA","Y",53
2007,"BCW","HSC","RA","N",20
2007,"BCW","ODE","A1","Y",15
2007,"BCW","ODE","A1","N",11
2007,"BCW","ODE","R1","Y",8
2007,"BCW","ODE","R1","N",1
2007,"BCW","ODE","AA","Y",125
2007,"BCW","ODE","AA","N",40
2007,"BCW","ODE","RA","Y",10
2007,"BCW","ODE","RA","N",3
2007,"BCW","PYE","A1","Y",8
2007,"BCW","PYE","A1","N",2
2007,"BCW","PYE","AA","Y",13
2007,"BCW","PYE","AA","N",8
2006,"BCW","AHS","A1","Y",78
