"Year","EducationLevel","Metric","AgeGroup","Sex","Count"
2001,"E4","PRT","55-64","F",52.4
2001,"E4","ERT","15-24","M",60.3
2001,"E4","ERT","15-24","F",61.5
2001,"E4","ERT","25-34","M",83.9
2001,"E4","ERT","25-34","F",70.8
2001,"E4","ERT","55+","M",34
2001,"E4","ERT","55+","F",27.8
2001,"E4","ERT","55-64","M",58.9
2001,"E4","ERT","55-64","F",47.4
2001,"E5","LFO","15-24","M",12.4
2001,"E5","LFO","15-24","F",11
2001,"E5","LFO","25-34","M",70.3
2001,"E5","LFO","25-34","F",33.2
2001,"E5","LFO","55+","M",52.2
2001,"E5","LFO","55+","F",21.6
2001,"E5","LFO","55-64","M",45
2001,"E5","LFO","55-64","F",19.5
2001,"E5","EFT","15-24","M",9.6
2001,"E5","EFT","15-24","F",7.4
2001,"E5","EFT","25-34","M",63.6
2001,"E5","EFT","25-34","F",24.1
2001,"E5","EFT","55+","M",44.3
2001,"E5","EFT","55+","F",14.1
2001,"E5","EFT","55-64","M",40
2001,"E5","EFT","55-64","F",13.2
2001,"E5","EPT","15-24","F",2.9
2001,"E5","EPT","25-34","M",2
2001,"E5","EPT","25-34","F",7.2
2001,"E5","EPT","55+","M",5.7
2001,"E5","EPT","55+","F",7
2001,"E5","EPT","55-64","M",3.2
2001,"E5","EPT","55-64","F",5.8
2001,"E5","UNE","15-24","M",1.6
2001,"E5","UNE","25-34","M",4.6
2001,"E5","UNE","25-34","F",1.9
2001,"E5","UNE","55+","M",2.2
2001,"E5","UNE","55-64","M",1.9
2001,"E5","NLF","15-24","M",1.8
2001,"E5","NLF","15-24","F",1.9
2001,"E5","NLF","25-34","M",2.9
2001,"E5","NLF","25-34","F",7.2
2001,"E5","NLF","55+","M",90.5
2001,"E5","NLF","55+","F",56.3
2001,"E5","NLF","55-64","M",24.1
2001,"E5","NLF","55-64","F",16.7
2001,"E5","URT","15-24","M",12.9
2001,"E5","URT","25-34","M",6.5
2001,"E5","URT","25-34","F",5.7
2001,"E5","URT","55+","M",4.2
2001,"E5","URT","55-64","M",4.2
2001,"E5","PRT","15-24","M",87.9
2001,"E5","PRT","15-24","F",85.9
2001,"E5","PRT","25-34","M",96
2001,"E5","PRT","25-34","F",82.2
2001,"E5","PRT","55+","M",36.6
2001,"E5","PRT","55+","F",27.7
2001,"E5","PRT","55-64","M",65.1
2001,"E5","PRT","55-64","F",53.9
2001,"E5","ERT","15-24","M",76.6
2001,"E5","ERT","15-24","F",80.5
2001,"E5","ERT","25-34","M",89.8
2001,"E5","ERT","25-34","F",77.2
2001,"E5","ERT","55+","M",35
2001,"E5","ERT","55+","F",27.1
2001,"E5","ERT","55-64","M",62.4
2001,"E5","ERT","55-64","F",52.2
2001,"E6","LFO","15-24","M",52.7
2001,"E6","LFO","15-24","F",60.6
2001,"E6","LFO","25-34","M",189.4
2001,"E6","LFO","25-34","F",211.8
2001,"E6","LFO","55+","M",42.3
