Credentials / Accréditations
----------------------------

ATC	Apprenticeship or trades certificate or diploma                     	Certificat ou diplôme technique ou d'apprentissage
BDE	Bachelor's degree                                                   	Baccalauréat
CCO	College, CEGEP or other non-university certificate or diploma       	Certificat ou diplôme non-universitaire
CDB	University certificate or diploma below bachelor level              	Certificat ou diplôme universitaire inférieur au baccalauréat
CDD	University certificate, diploma or degree above bachelor level      	Certificat ou diplôme universitaire supérieur au baccalauréat
HSD	High school diploma or equivalent                                   	Études secondaires ou equivalent
NCD	No certificate, diploma or degree                                   	Aucun certificat ou diplôme


Occupations (NOC / CNP)
-----------------------

2255	Technical occupations in geomatics and meteorology                                                                   	Personnel technique en géomatique et en météorologie
2261	Non-destructive testers and inspection technicians                                                                   	Vérificateurs/vérificatrices et essayeurs/essayeuses des essais non destructifs
2262	Engineering inspectors and regulatory officers                                                                       	Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation
2263	Inspectors in public and environmental health and occupational health and safety                                     	Inspecteurs/inspectrices de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail
2264	Construction inspectors                                                                                              	Inspecteurs/inspectrices en construction
2271	Air pilots, flight engineers and flying instructors                                                                  	Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aérien
2272	Air traffic controllers and related occupations                                                                      	Contrôleurs aériens/contrôleuses aériennes et personnel assimilé
2273	Deck officers, water transport                                                                                       	Officiers/officières de pont du transport par voies navigables
2274	Engineer officers, water transport                                                                                   	Officiers mécaniciens/officières mécaniciennes du transport par voies navigables
2275	Railway traffic controllers and marine traffic regulators                                                            	Contrôleurs/contrôleuses de la circulation ferroviaire et régulateurs/régulatrices de la circulation maritime
2281	Computer network technicians                                                                                         	Techniciens/techniciennes de réseau informatique
2282	User support technicians                                                                                             	Agents/agentes de soutien aux utilisateurs
2283	Information systems testing technicians                                                                              	Évaluateurs/évaluatrices de systèmes informatiques
3011	Nursing co-ordinators and supervisors                                                                                	Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers
3012	Registered nurses and registered psychiatric nurses                                                                  	Infirmiers autorisés/infirmières autorisées et infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées
3111	Specialist physicians                                                                                                	Médecins spécialistes
3112	General practitioners and family physicians                                                                          	Omnipraticiens/omnipraticiennes et médecins en médecine familiale
3113	Dentists                                                                                                             	Dentistes
3114	Veterinarians                                                                                                        	Vétérinaires
3121	Optometrists                                                                                                         	Optométristes
3122	Chiropractors                                                                                                        	Chiropraticiens/chiropraticiennes
3124	Allied primary health practitioners                                                                                  	Praticiens/praticiennes reliés en soins de santé primaire
3125	Other professional occupations in health diagnosing and treating                                                     	Autres professionnels/professionnelles en diagnostic et en traitement de la santé
3131	Pharmacists                                                                                                          	Pharmaciens/pharmaciennes
3132	Dietitians and nutritionists                                                                                         	Diététistes et nutritionnistes
3141	Audiologists and speech-language pathologists                                                                        	Audiologistes et orthophonistes
3142	Physiotherapists                                                                                                     	Physiothérapeutes
3143	Occupational therapists                                                                                              	Ergothérapeutes
3144	Other professional occupations in therapy and assessment                                                             	Autres professionnels/professionnelles en thérapie et en diagnostic
3211	Medical laboratory technologists                                                                                     	Technologues de laboratoires médicaux
3212	Medical laboratory technicians and pathologists' assistants                                                          	Techniciens/techniciennes de laboratoire médical et assistants/assistantes en pathologie
3213	Animal health technologists and veterinary technicians                                                               	Technologues en santé animale et techniciens/techniciennes vétérinaires
3214	Respiratory therapists, clinical perfusionists and cardiopulmonary technologists                                     	Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires
3215	Medical radiation technologists                                                                                      	Technologues en radiation médicale
3216	Medical sonographers                                                                                                 	Technologues en échographie
3217	Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.                                   	Technologues en cardiologie et technologues en électrophysiologie diagnostique, n.c.a.
3219	Other medical technologists and technicians (except dental health)                                                   	Autres technologues et techniciens/techniciennes des sciences de la santé (sauf soins dentaires)
3221	Denturists                                                                                                           	Denturologistes
3222	Dental hygienists and dental therapists                                                                              	Hygiénistes et thérapeutes dentaires
3223	Dental technologists, technicians and laboratory assistants                                                          	Technologues et techniciens/techniciennes dentaires et auxiliaires dans les laboratoires dentaires
3231	Opticians                                                                                                            	Opticiens/opticiennes d'ordonnances
3232	Practitioners of natural healing                                                                                     	Praticiens/praticiennes des médecines douces
3233	Licensed practical nurses                                                                                            	Infirmiers auxiliaires/infirmières auxiliaires
3234	Paramedical occupations                                                                                              	Personnel ambulancier et paramédical
3236	Massage therapists                                                                                                   	Massothérapeutes
3237	Other technical occupations in therapy and assessment                                                                	Autre personnel technique en thérapie et en diagnostic
3411	Dental assistants                                                                                                    	Assistants/assistantes dentaires
3413	Nurse aides, orderlies and patient service associates                                                                	Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires
3414	Other assisting occupations in support of health services                                                            	Autre personnel de soutien des services de santé
4011	University professors and lecturers                                                                                  	Professeurs/professeures et chargés/chargées de cours au niveau universitaire
4012	Post-secondary teaching and research assistants                                                                      	Assistants/assistantes d'enseignement et de recherche au niveau postsecondaire
4021	College and other vocational instructors                                                                             	Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle
4031	Secondary school teachers                                                                                            	Enseignants/enseignantes au niveau secondaire
4032	Elementary school and kindergarten teachers                                                                          	Enseignants/enseignantes aux niveaux primaire et préscolaire
4033	Educational counsellors                                                                                              	Conseillers/conseillères en information scolaire
4111	Judges                                                                                                               	Juges
4112	Lawyers and Quebec notaries                                                                                          	Avocats/avocates (partout au Canada) et notaires (au Québec)
4151	Psychologists                                                                                                        	Psychologues
4152	Social workers                                                                                                       	Travailleurs sociaux/travailleuses sociales
4153	Family, marriage and other related counsellors                                                                       	Thérapeutes conjugaux/thérapeutes conjugales, thérapeutes familiaux/thérapeutes familiales et autres conseillers assimilés/conseillères assimilées
4154	Professional occupations in religion                                                                                 	Personnel professionnel relié à la religion
4155	Probation and parole officers and related occupations                                                                	Agents/agentes de probation et de libération conditionnelle et personnel assimilé
4156	Employment counsellors                                                                                               	Conseillers/conseillères en emploi
4161	Natural and applied science policy researchers, consultants and program officers                                     	Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes, en sciences naturelles et appliquées
4162	Economists and economic policy researchers and analysts                                                              	Économistes, recherchistes et analystes des politiques économiques
4163	Business development officers and marketing researchers and consultants                                              	Agents/agentes de développement économique, recherchistes et experts-conseils/expertes-conseils en marketing
4164	Social policy researchers, consultants and program officers                                                          	Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques sociales
4165	Health policy researchers, consultants and program officers                                                          	Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé
4166	Education policy researchers, consultants and program officers                                                       	Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement
4167	Recreation, sports and fitness policy researchers, consultants and program officers                                  	Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programme en sports, en loisirs et en conditionnement physique
4168	Program officers unique to government                                                                                	Agents/agentes de programmes propres au gouvernement
4169	Other professional occupations in social science, n.e.c.                                                             	Autres professionnels/professionnelles des sciences sociales, n.c.a.
4211	Paralegal and related occupations                                                                                    	Techniciens/techniciennes juridiques et personnel assimilé
4212	Social and community service workers                                                                                 	Travailleurs/travailleuses des services sociaux et communautaires
4214	Early childhood educators and assistants                                                                             	Éducateurs/éducatrices et aides-éducateurs/aides-éducatrices de la petite enfance
4215	Instructors of persons with disabilities                                                                             	Instructeurs/instructrices pour personnes ayant une déficience
4216	Other instructors                                                                                                    	Autres instructeurs/instructrices
4217	Other religious occupations                                                                                          	Autre personnel relié à la religion
4311	Police officers (except commissioned)                                                                                	Policiers/policières (sauf cadres supérieurs)
4312	Firefighters                                                                                                         	Pompiers/pompières
4313	Non-commissioned ranks of the Canadian Forces                                                                        	Sous-officiers/sous-officières des Forces armées canadiennes
4411	Home child care providers                                                                                            	Gardiens/gardiennes d'enfants en milieu familial
4412	Home support workers, housekeepers and related occupations                                                           	Aides familiaux résidents/aides familiales résidentes, aides de maintien à domicile et personnel assimilé
4413	Elementary and secondary school teacher assistants                                                                   	Aides-enseignants/aides-enseignantes aux niveaux primaire et secondaire
4421	Sheriffs and bailiffs                                                                                                	Shérifs et huissiers/huissières de justice
4422	Correctional service officers                                                                                        	Agents/agentes de services correctionnels
4423	By-law enforcement and other regulatory officers, n.e.c.                                                             	Agents/agentes d'application de règlements municipaux et autres agents/agentes de réglementation, n.c.a.
5111	Librarians                                                                                                           	Bibliothécaires
5112	Conservators and curators                                                                                            	Restaurateurs/restauratrices et conservateurs/conservatrices
5113	Archivists                                                                                                           	Archivistes
5121	Authors and writers                                                                                                  	Auteurs/auteures, rédacteurs/rédactrices et écrivains/écrivaines
5122	Editors                                                                                                              	Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles
5123	Journalists                                                                                                          	Journalistes
5125	Translators, terminologists and interpreters                                                                         	Traducteurs/traductrices, terminologues et interprètes
5131	Producers, directors, choreographers and related occupations                                                         	Producteurs/productrices, réalisateurs/réalisatrices, chorégraphes et personnel assimilé
5132	Conductors, composers and arrangers                                                                                  	Chefs d'orchestre, compositeurs/compositrices et arrangeurs/arrangeuses
5133	Musicians and singers                                                                                                	Musiciens/musiciennes et chanteurs/chanteuses
5134	Dancers                                                                                                              	Danseurs/danseuses
5135	Actors and comedians                                                                                                 	Acteurs/actrices et comédiens/comédiennes
5136	Painters, sculptors and other visual artists                                                                         	Peintres, sculpteurs/sculpteures et autres artistes des arts visuels
5211	Library and public archive technicians                                                                               	Techniciens/techniciennes dans les bibliothèques et les services d'archives publiques
5212	Technical occupations related to museums and art galleries                                                           	Personnel technique des musées et des galeries d'art
5221	Photographers                                                                                                        	Photographes
5222	Film and video camera operators                                                                                      	Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo
5223	Graphic arts technicians                                                                                             	Techniciens/techniciennes en graphisme
5224	Broadcast technicians                                                                                                	Techniciens/techniciennes en radiotélédiffusion
5225	Audio and video recording technicians                                                                                	Techniciens/techniciennes en enregistrement audio et vidéo
5226	Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts               	Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène
5227	Support occupations in motion pictures, broadcasting, photography and the performing arts                            	Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène
5231	Announcers and other broadcasters                                                                                    	Annonceurs/annonceuses et autres communicateurs/communicatrices
5232	Other performers, n.e.c.                                                                                             	Autres artistes de spectacle, n.c.a.
5241	Graphic designers and illustrators                                                                                   	Designers graphiques et illustrateurs/illustratrices
5242	Interior designers and interior decorators                                                                           	Designers d'intérieur et décorateurs/décoratrices d'intérieur
5243	Theatre, fashion, exhibit and other creative designers                                                               	Ensembliers/ensemblières de théâtre, dessinateurs/dessinatrices de mode, concepteurs/conceptrices d'expositions et autres concepteurs/conceptrices artistiques
5244	Artisans and craftspersons                                                                                           	Artisans/artisanes
5245	Patternmakers - textile, leather and fur products                                                                    	Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure
5251	Athletes                                                                                                             	Athlètes
5252	Coaches                                                                                                              	Entraîneurs/entraîneuses
5253	Sports officials and referees                                                                                        	Arbitres et officiels/officielles de sports
5254	Program leaders and instructors in recreation, sport and fitness                                                     	Animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique
6211	Retail sales supervisors                                                                                             	Superviseurs/superviseures des ventes - commerce de détail
6221	Technical sales specialists - wholesale trade                                                                        	Spécialistes des ventes techniques - commerce de gros
6222	Retail and wholesale buyers                                                                                          	Acheteurs/acheteuses des commerces de détail et de gros
6231	Insurance agents and brokers                                                                                         	Agents/agentes et courtiers/courtières d'assurance
6232	Real estate agents and salespersons                                                                                  	Agents/agentes et vendeurs/vendeuses en immobilier
6235	Financial sales representatives                                                                                      	Représentants/représentantes des ventes financières
6311	Food service supervisors                                                                                             	Superviseurs/superviseures des services alimentaires
6312	Executive housekeepers                                                                                               	Gouvernants principaux/gouvernantes principales
6313	Accommodation, travel, tourism and related services supervisors                                                      	Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes
6314	Customer and information services supervisors                                                                        	Superviseurs/superviseures des services d'information et des services à la clientèle
6315	Cleaning supervisors                                                                                                 	Surveillants/surveillantes des services de nettoyage
6316	Other services supervisors                                                                                           	Surveillants/surveillantes des autres services
6321	Chefs                                                                                                                	Chefs
6322	Cooks                                                                                                                	Cuisiniers/cuisinières
6331	Butchers, meat cutters and fishmongers - retail and wholesale                                                        	Bouchers/bouchères, coupeurs/coupeuses de viande et poissonniers/poissonnières - commerce de gros et de détail
6332	Bakers                                                                                                               	Boulangers-pâtissiers/boulangères-pâtissières
6341	Hairstylists and barbers                                                                                             	Coiffeurs/coiffeuses et barbiers
6342	Tailors, dressmakers, furriers and milliners                                                                         	Tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes
6343	Shoe repairers and shoemakers                                                                                        	Cordonniers/cordonnières et fabricants/fabricantes de chaussures
