"AcademicYear","Division","University","Range","StudentYear","Count","Percentage"
2011,"S","CAR","101-250",1,73,.2
2011,"S","CAR","101-250",2,80,.21
2011,"S","CAR","101-250",3,19,.049
2011,"S","CAR","101-250",4,3,.008
2011,"S","GUE","101-250",1,103,.262
2011,"S","GUE","101-250",2,159,.255
2011,"S","GUE","101-250",3,139,.123
2011,"S","GUE","101-250",4,22,.009
2011,"S","LAK","101-250",1,15,.079
2011,"S","LAK","101-250",2,9,.036
2011,"S","LAK","101-250",3,7,.026
2011,"S","LAK","101-250",4,5,.009
2011,"S","LAU","101-250",1,16,.103
2011,"S","LAU","101-250",2,8,.035
2011,"S","MCM","101-250",1,66,.267
2011,"S","MCM","101-250",2,98,.282
2011,"S","MCM","101-250",3,54,.127
2011,"S","MCM","101-250",4,11,.033
2011,"S","NIP","101-250",1,3,.009
2011,"S","NIP","101-250",2,4,.013
2011,"S","OCA","101-250",1,5,.015
2011,"S","OCA","101-250",2,8,.019
2011,"S","OCA","101-250",3,1,.003
2011,"S","OTT","101-250",1,151,.278
2011,"S","OTT","101-250",2,92,.152
2011,"S","OTT","101-250",3,45,.051
2011,"S","OTT","101-250",4,12,.022
2011,"S","UOI","101-250",1,38,.325
2011,"S","UOI","101-250",2,35,.33
2011,"S","UOI","101-250",3,17,.108
2011,"S","QUE","101-250",1,55,.168
2011,"S","QUE","101-250",2,73,.232
2011,"S","QUE","101-250",3,33,.074
2011,"S","QUE","101-250",4,12,.017
2011,"S","RYE","101-250",1,94,.153
2011,"S","RYE","101-250",2,56,.091
2011,"S","RYE","101-250",3,38,.063
2011,"S","RYE","101-250",4,16,.026
2011,"S","TAC","101-250",1,150,.264
2011,"S","TAC","101-250",2,232,.254
2011,"S","TAC","101-250",3,80,.068
2011,"S","TAC","101-250",4,5,.006
2011,"S","TSG","101-250",1,91,.239
2011,"S","TSG","101-250",2,145,.281
2011,"S","TSG","101-250",3,61,.088
2011,"S","TSG","101-250",4,5,.009
2011,"S","TMI","101-250",1,30,.326
2011,"S","TMI","101-250",2,55,.279
2011,"S","TMI","101-250",3,11,.039
2011,"S","TSC","101-250",1,30,.299
2011,"S","TSC","101-250",2,32,.16
2011,"S","TSC","101-250",3,8,.037
2011,"S","TRE","101-250",1,29,.2
2011,"S","TRE","101-250",2,92,.33
2011,"S","TRE","101-250",3,157,.423
2011,"S","TRE","101-250",4,23,.063
2011,"S","WAT","101-250",1,160,.272
2011,"S","WAT","101-250",2,112,.196
2011,"S","WAT","101-250",3,37,.086
2011,"S","WAT","101-250",4,11,.026
2011,"S","WMC","101-250",1,93,.258
2011,"S","WMC","101-250",2,116,.104
2011,"S","WMC","101-250",3,28,.036
2011,"S","WMC","101-250",4,5,.009
2011,"S","WHC","101-250",1,6,.08
2011,"S","WHC","101-250",2,1,.009
2011,"S","WLA","101-250",1,73,.376
2011,"S","WLA","101-250",2,67,.2
2011,"S","WLA","101-250",3,9,.028
2011,"S","WIN","101-250",1,53,.301
2011,"S","WIN","101-250",2,48,.2
2011,"S","WIN","101-250",3,12,.045
2011,"S","WIN","101-250",4,4,.026
2011,"S","YOR","101-250",1,173,.251
2011,"S","YOR","101-250",2,121,.167
2011,"S","YOR","101-250",3,42,.04
2011,"S","YOR","101-250",4,8,.009
2010,"S","BRO","101-250",1,50,.164
2010,"S","BRO","101-250",2,91,.172
2010,"S","BRO","101-250",3,29,.05
2010,"S","BRO","101-250",4,2,.004
2010,"S","CAR","101-250",1,77,.211
2010,"S","CAR","101-250",2,92,.241
2010,"S","CAR","101-250",3,21,.054
2010,"S","CAR","101-250",4,3,.008
2010,"S","GUE","101-250",1,101,.274
2010,"S","GUE","101-250",2,164,.262
2010,"S","GUE","101-250",3,148,.14
2010,"S","GUE","101-250",4,23,.009
2010,"S","LAK","101-250",1,15,.079
2010,"S","LAK","101-250",2,10,.042
2010,"S","LAK","101-250",3,7,.025
2010,"S","LAK","101-250",4,10,.017
2010,"S","LAU","101-250",1,17,.107
2010,"S","LAU","101-250",2,5,.021
2010,"S","LAU","101-250",3,1,.005
2010,"S","MCM","101-250",1,51,.215
2010,"S","MCM","101-250",2,106,.319
2010,"S","MCM","101-250",3,55,.137
2010,"S","MCM","101-250",4,9,.025
2010,"S","NIP","101-250",1,2,.006
2010,"S","NIP","101-250",2,2,.006
2010,"S","OCA","101-250",1,1,.003
2010,"S","OCA","101-250",2,8,.022
2010,"S","OCA","101-250",3,1,.003
2010,"S","OTT","101-250",1,157,.29
2010,"S","OTT","101-250",2,90,.149
2010,"S","OTT","101-250",3,29,.034
2010,"S","OTT","101-250",4,6,.011
2010,"S","UOI","101-250",1,39,.375
2010,"S","UOI","101-250",2,34,.333
2010,"S","UOI","101-250",3,14,.087
2010,"S","UOI","101-250",4,2,.012
2010,"S","QUE","101-250",1,44,.139
2010,"S","QUE","101-250",2,71,.234
2010,"S","QUE","101-250",3,33,.078
2010,"S","QUE","101-250",4,8,.013
2010,"S","RYE","101-250",1,81,.137
2010,"S","RYE","101-250",2,54,.097
2010,"S","RYE","101-250",3,32,.058
2010,"S","RYE","101-250",4,10,.019
2010,"S","TAC","101-250",1,141,.236
2010,"S","TAC","101-250",2,221,.24
2010,"S","TAC","101-250",3,73,.063
2010,"S","TAC","101-250",4,5,.007
2010,"S","TSG","101-250",1,82,.209
2010,"S","TSG","101-250",2,136,.263
2010,"S","TSG","101-250",3,55,.082
2010,"S","TSG","101-250",4,5,.009
2010,"S","TMI","101-250",1,28,.258
2010,"S","TMI","101-250",2,51,.262
2010,"S","TMI","101-250",3,10,.036
2010,"S","TSC","101-250",1,31,.316
2010,"S","TSC","101-250",2,34,.163
2010,"S","TSC","101-250",3,9,.039
2010,"S","TRE","101-250",1,31,.191
2010,"S","TRE","101-250",2,15,.058
2010,"S","TRE","101-250",3,5,.014
2010,"S","WAT","101-250",1,172,.299
2010,"S","WAT","101-250",2,139,.246
2010,"S","WAT","101-250",3,25,.057
2010,"S","WAT","101-250",4,13,.033
2010,"S","WMC","101-250",1,103,.283
2010,"S","WMC","101-250",2,123,.115
2010,"S","WMC","101-250",3,32,.042
2010,"S","WMC","101-250",4,7,.013
2010,"S","WHC","101-250",1,3,.048
2010,"S","WHC","101-250",2,2,.018
2010,"S","WLA","101-250",1,63,.36
2010,"S","WLA","101-250",2,68,.21
2010,"S","WLA","101-250",3,10,.034
2010,"S","WIN","101-250",1,49,.293
2010,"S","WIN","101-250",2,44,.178
2010,"S","WIN","101-250",3,10,.042
2010,"S","WIN","101-250",4,3,.019
2010,"S","YOR","101-250",1,176,.258
2010,"S","YOR","101-250",2,127,.174
2010,"S","YOR","101-250",3,44,.048
2010,"S","YOR","101-250",4,3,.004
2009,"S","BRO","101-250",1,51,.161
2009,"S","BRO","101-250",2,89,.166
2009,"S","BRO","101-250",3,30,.053
2009,"S","BRO","101-250",4,2,.004
2009,"S","CAR","101-250",1,70,.223
2009,"S","CAR","101-250",2,71,.192
2009,"S","CAR","101-250",3,19,.051
2009,"S","CAR","101-250",4,3,.009
2009,"S","GUE","101-250",1,110,.278
2009,"S","GUE","101-250",2,177,.289
2009,"S","GUE","101-250",3,128,.116
2009,"S","GUE","101-250",4,17,.007
2009,"S","LAK","101-250",1,12,.067
2009,"S","LAK","101-250",2,11,.048
2009,"S","LAK","101-250",3,5,.018
2009,"S","LAK","101-250",4,6,.011
2009,"S","LAU","101-250",1,11,.065
2009,"S","LAU","101-250",2,6,.025
2009,"S","MCM","101-250",1,64,.201
2009,"S","MCM","101-250",2,107,.258
2009,"S","MCM","101-250",3,56,.131
2009,"S","MCM","101-250",4,5,.012
2009,"S","NIP","101-250",1,4,.012
2009,"S","NIP","101-250",2,1,.003
2009,"S","OCA","101-250",1,4,.015
2009,"S","OCA","101-250",2,7,.021
2009,"S","OCA","101-250",3,4,.012
2009,"S","OTT","101-250",1,165,.296
2009,"S","OTT","101-250",2,74,.118
2009,"S","OTT","101-250",3,28,.032
2009,"S","OTT","101-250",4,6,.012
2009,"S","UOI","101-250",1,42,.375
2009,"S","UOI","101-250",2,25,.24
2009,"S","UOI","101-250",3,7,.048
2009,"S","QUE","101-250",1,37,.078
2009,"S","QUE","101-250",2,61,.188
2009,"S","QUE","101-250",3,28,.059
2009,"S","QUE","101-250",4,9,.013
2009,"S","RYE","101-250",1,125,.199
2009,"S","RYE","101-250",2,39,.071
2009,"S","RYE","101-250",3,17,.032
2009,"S","RYE","101-250",4,5,.009
2009,"S","TAC","101-250",1,135,.221
2009,"S","TAC","101-250",2,217,.236
2009,"S","TAC","101-250",3,78,.067
2009,"S","TAC","101-250",4,6,.009
2009,"S","TSG","101-250",1,83,.212
2009,"S","TSG","101-250",2,133,.259
2009,"S","TSG","101-250",3,56,.083
2009,"S","TSG","101-250",4,6,.012
2009,"S","TMI","101-250",1,23,.212
2009,"S","TMI","101-250",2,49,.255
2009,"S","TMI","101-250",3,13,.048
2009,"S","TSC","101-250",1,29,.266
2009,"S","TSC","101-250",2,35,.166
2009,"S","TSC","101-250",3,10,.044
2009,"S","TRE","101-250",1,26,.295
2009,"S","TRE","101-250",2,33,.125
