"Year","College","MTCUCode","Entrants","Graduates"
"14-15","CAMB","40208",100,68
"15-16","CAMB","40208",146,68
"13-14","CAMB","40208",59,39
"14-15","CAMB","41007",36,14
"13-14","CAMB","41007",25,11
"15-16","CAMB","41007",84,60
"12-13","CAMB","41007",35,13
"16-17","CAMB","41007",87,59
"16-17","CAMB","41469",44,40
"14-15","CAMB","41469",39,30
"12-13","CAMB","41469",82,60
"13-14","CAMB","41469",58,45
"15-16","CAMB","41469",60,50
"13-14","CAMB","41629",41,35
"14-15","CAMB","41629",17,15
"12-13","CAMB","41629",32,27
"12-13","CAMB","41800",18,13
"13-14","CAMB","43006",30,29
"15-16","CAMB","43006",16,16
"14-15","CAMB","43006",32,23
"12-13","CAMB","43006",26,24
"15-16","CAMB","43007",23,11
"14-15","CAMB","43007",23,13
"12-13","CAMB","43007",25,18
"12-13","CAMB","43106",36,29
"13-14","CAMB","43106",39,31
"13-14","CAMB","45500",49,38
"14-15","CAMB","45500",46,25
"12-13","CAMB","45500",58,39
"15-16","CAMB","45500",64,41
"16-17","CAMB","45500",76,68
"16-17","CAMB","45613",151,93
"12-13","CAMB","45613",67,38
"15-16","CAMB","45613",145,82
"13-14","CAMB","45613",79,38
"14-15","CAMB","45613",91,47
"13-14","CAMB","46705",17,14
"15-16","CAMB","46705",69,58
"16-17","CAMB","46705",70,58
"16-17","CAMB","47600",35,28
"15-16","CAMB","47600",29,14
"13-14","CAMB","49100",62,57
"15-16","CAMB","49100",65,65
"12-13","CAMB","49100",59,57
"14-15","CAMB","49100",58,55
"16-17","CAMB","49100",59,53
"16-17","CAMB","50100",65,26
"15-16","CAMB","50100",34,21
"13-14","CAMB","50200",44,24
"12-13","CAMB","50200",32,16
"15-16","CAMB","50200",67,25
"14-15","CAMB","50200",39,20
"16-17","CAMB","50200",65,39
"16-17","CAMB","50705",40,26
"13-14","CAMB","50705",31,17
"14-15","CAMB","50705",23,18
"15-16","CAMB","50705",27,18
"12-13","CAMB","50721",51,28
"14-15","CAMB","50721",72,41
"13-14","CAMB","50721",74,38
"15-16","CAMB","50721",78,42
"16-17","CAMB","50721",93,39
"12-13","CAMB","50721",16,11
"14-15","CAMB","51003",47,31
"15-16","CAMB","51003",67,39
"12-13","CAMB","51003",46,24
"13-14","CAMB","51003",51,30
"16-17","CAMB","51003",66,35
"16-17","CAMB","51007",57,50
"15-16","CAMB","51007",46,37
"14-15","CAMB","51007",44,36
"12-13","CAMB","51007",112,91
"13-14","CAMB","51007",88,70
"14-15","CAMB","51011",17,15
"12-13","CAMB","51011",17,17
"15-16","CAMB","51011",19,16
"16-17","CAMB","51011",14,12
"14-15","CAMB","51211",111,56
"12-13","CAMB","51211",52,28
"13-14","CAMB","51211",76,36
"15-16","CAMB","51211",64,27
"16-17","CAMB","51211",100,60
"12-13","CAMB","51211",19,13
"15-16","CAMB","51211",38,19
"13-14","CAMB","51407",40,28
"15-16","CAMB","51407",62,42
"14-15","CAMB","51407",52,39
"12-13","CAMB","51407",44,29
"16-17","CAMB","51407",74,46
"14-15","CAMB","51628",46,43
"12-13","CAMB","51628",38,35
"13-14","CAMB","51628",35,27
"12-13","CAMB","51637",36,19
"15-16","CAMB","51637",44,23
"13-14","CAMB","51637",30,16
"14-15","CAMB","51637",37,18
"16-17","CAMB","51637",54,28
"16-17","CAMB","51641",51,26
"14-15","CAMB","51641",30,19
"13-14","CAMB","51641",37,26
"15-16","CAMB","51641",29,17
"12-13","CAMB","51641",27,19
"12-13","CAMB","51643",18,15
"13-14","CAMB","51643",19,10
"15-16","CAMB","51911",18,10
"14-15","CAMB","51911",17,10
"14-15","CAMB","52006",20,11
"12-13","CAMB","52006",30,12
"13-14","CAMB","52006",27,12
"15-16","CAMB","52006",23,10
"14-15","CAMB","52100",20,13
"13-14","CAMB","52330",21,12
"12-13","CAMB","52330",21,13
"16-17","CAMB","53008",66,30
"13-14","CAMB","53008",74,44
"12-13","CAMB","53008",58,41
"15-16","CAMB","53008",94,46
"14-15","CAMB","53008",72,42
"12-13","CAMB","53200",28,11
"14-15","CAMB","53200",19,14
"14-15","CAMB","53205",22,10
"13-14","CAMB","53205",26,16
"13-14","CAMB","54411",46,21
"12-13","CAMB","54411",92,51
"14-15","CAMB","54411",31,19
"15-16","CAMB","54411",30,17
"16-17","CAMB","54411",56,37
"15-16","CAMB","54701",18,13
"15-16","CAMB","54900",24,10
"13-14","CAMB","54900",41,27
"12-13","CAMB","54900",35,17
"16-17","CAMB","54900",39,19
"12-13","CAMB","55300",14,11
"14-15","CAMB","55500",34,30
"15-16","CAMB","55500",36,31
"13-14","CAMB","55500",70,59
"12-13","CAMB","55500",22,20
"16-17","CAMB","55500",42,33
"16-17","CAMB","55610",47,40
"12-13","CAMB","55610",53,44
"15-16","CAMB","55610",47,36
"14-15","CAMB","55610",49,36
"13-14","CAMB","55610",57,37
"12-13","CAMB","55613",60,54
"13-14","CAMB","55613",66,52
"15-16","CAMB","55613",65,55
"14-15","CAMB","55613",63,55
"16-17","CAMB","55613",67,54
"15-16","CAMB","56405",27,14
"13-14","CAMB","56405",38,21
"12-13","CAMB","56405",31,13
"13-14","CAMB","56405",16,15
"16-17","CAMB","56405",19,15
"16-17","CAMB","56705",36,31
"14-15","CAMB","56705",39,35
"12-13","CAMB","56705",46,33
"15-16","CAMB","56705",40,37
"13-14","CAMB","56705",14,13
"14-15","CAMB","59100",48,46
"12-13","CAMB","59100",35,34
"15-16","CAMB","59100",52,50
